GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A3Y001,A3Y002
"G0100010","1910","Alabama","010","Autauga","0010","Autauga",20038,17915
"G0100030","1910","Alabama","010","Baldwin","0030","Baldwin",18178,13194
"G0100050","1910","Alabama","010","Barbour","0050","Barbour",32728,35152
"G0100070","1910","Alabama","010","Bibb","0070","Bibb",22791,18498
"G0100090","1910","Alabama","010","Blount","0090","Blount",21456,19861
"G0100110","1910","Alabama","010","Bullock","0110","Bullock",30196,31944
"G0100130","1910","Alabama","010","Butler","0130","Butler",29030,25761
"G0100150","1910","Alabama","010","Calhoun","0150","Calhoun",39115,34874
"G0100170","1910","Alabama","010","Chambers","0170","Chambers",36056,32554
"G0100190","1910","Alabama","010","Cherokee","0190","Cherokee",20226,21096
"G0100210","1910","Alabama","010","Chilton","0210","Chilton",23187,16522
"G0100230","1910","Alabama","010","Choctaw","0230","Choctaw",18483,18136
"G0100250","1910","Alabama","010","Clarke","0250","Clarke",30987,27790
"G0100270","1910","Alabama","010","Clay","0270","Clay",21006,17099
"G0100290","1910","Alabama","010","Cleburne","0290","Cleburne",13385,13206
"G0100310","1910","Alabama","010","Coffee","0310","Coffee",26119,20972
"G0100330","1910","Alabama","010","Colbert","0330","Colbert",24802,22341
"G0100350","1910","Alabama","010","Conecuh","0350","Conecuh",21433,17514
"G0100370","1910","Alabama","010","Coosa","0370","Coosa",16634,16144
"G0100390","1910","Alabama","010","Covington","0390","Covington",32124,15346
"G0100410","1910","Alabama","010","Crenshaw","0410","Crenshaw",23313,19668
"G0100430","1910","Alabama","010","Cullman","0430","Cullman",28321,21107
"G0100450","1910","Alabama","010","Dale","0450","Dale",21608,
"G0100470","1910","Alabama","010","Dallas","0470","Dallas",53401,54657
"G0100490","1910","Alabama","010","DeKalb","0490","Dekalb",28261,23558
"G0100510","1910","Alabama","010","Elmore","0510","Elmore",28245,26099
"G0100530","1910","Alabama","010","Escambia","0530","Escambia",18889,11320
"G0100550","1910","Alabama","010","Etowah","0550","Etowah",39109,27361
"G0100570","1910","Alabama","010","Fayette","0570","Fayette",16248,14132
"G0100590","1910","Alabama","010","Franklin","0590","Franklin",19369,16511
"G0100610","1910","Alabama","010","Geneva","0610","Geneva",26230,
"G0100630","1910","Alabama","010","Greene","0630","Greene",22717,24182
"G0100650","1910","Alabama","010","Hale","0650","Hale",27883,31011
"G0100670","1910","Alabama","010","Henry","0670","Henry",20943,
"G0100690","1910","Alabama","010","Houston","0690","Houston",32414,22082
"G0100710","1910","Alabama","010","Jackson","0710","Jackson",32918,30508
"G0100730","1910","Alabama","010","Jefferson","0730","Jefferson",226476,140420
"G0100750","1910","Alabama","010","Lamar","0750","Lamar",17487,16084
"G0100770","1910","Alabama","010","Lauderdale","0770","Lauderdale",30936,26559
"G0100790","1910","Alabama","010","Lawrence","0790","Lawrence",21984,20124
"G0100810","1910","Alabama","010","Lee","0810","Lee",32867,31826
"G0100830","1910","Alabama","010","Limestone","0830","Limestone",26880,22387
"G0100850","1910","Alabama","010","Lowndes","0850","Lowndes",31894,35651
"G0100870","1910","Alabama","010","Macon","0870","Macon",26049,23126
"G0100890","1910","Alabama","010","Madison","0890","Madison",47041,43702
"G0100910","1910","Alabama","010","Marengo","0910","Marengo",39923,38315
"G0100930","1910","Alabama","010","Marion","0930","Marion",17495,14494
"G0100950","1910","Alabama","010","Marshall","0950","Marshall",28553,23289
"G0100970","1910","Alabama","010","Mobile","0970","Mobile",80854,62740
"G0100990","1910","Alabama","010","Monroe","0990","Monroe",27155,23666
"G0101010","1910","Alabama","010","Montgomery","1010","Montgomery",82178,72047
"G0101030","1910","Alabama","010","Morgan","1030","Morgan",33781,28820
"G0101050","1910","Alabama","010","Perry","1050","Perry",31222,31783
"G0101070","1910","Alabama","010","Pickens","1070","Pickens",25055,24402
"G0101090","1910","Alabama","010","Pike","1090","Pike",30815,29172
"G0101110","1910","Alabama","010","Randolph","1110","Randolph",24659,21647
"G0101130","1910","Alabama","010","Russell","1130","Russell",25937,27083
"G0101150","1910","Alabama","010","St Clair","1150","St Clair",20715,19425
"G0101170","1910","Alabama","010","Shelby","1170","Shelby",26949,23684
"G0101190","1910","Alabama","010","Sumter","1190","Sumter",28699,32710
"G0101210","1910","Alabama","010","Talladega","1210","Talladega",37921,35773
"G0101230","1910","Alabama","010","Tallapoosa","1230","Tallapoosa",31034,29675
"G0101250","1910","Alabama","010","Tuscaloosa","1250","Tuscaloosa",47559,36147
"G0101270","1910","Alabama","010","Walker","1270","Walker",37013,25162
"G0101290","1910","Alabama","010","Washington","1290","Washington",14454,11134
"G0101310","1910","Alabama","010","Wilcox","1310","Wilcox",33810,35631
"G0101330","1910","Alabama","010","Winston","1330","Winston",12855,9554
"G0450015","1910","Arizona Territory","045","Apache","0015","Apache",9196,8297
"G0450035","1910","Arizona Territory","045","Cochise","0035","Cochise",34591,9251
"G0450055","1910","Arizona Territory","045","Coconino","0055","Coconino",8130,5514
"G0450075","1910","Arizona Territory","045","Gila","0075","Gila",16348,4973
"G0450095","1910","Arizona Territory","045","Graham","0095","Graham",23999,14162
"G0450135","1910","Arizona Territory","045","Maricopa","0135","Maricopa",34488,20457
"G0450155","1910","Arizona Territory","045","Mohave","0155","Mohave",3773,3426
"G0450175","1910","Arizona Territory","045","Navajo","0175","Navajo",11471,8829
"G0450195","1910","Arizona Territory","045","Pima","0195","Pima",22818,14689
"G0450215","1910","Arizona Territory","045","Pinal","0215","Pinal",9045,7779
"G0450235","1910","Arizona Territory","045","Santa Cruz","0235","Santa Cruz",6766,4545
"G0450255","1910","Arizona Territory","045","Yavapai","0255","Yavapai",15996,13799
"G0450275","1910","Arizona Territory","045","Yuma","0275","Yuma",7733,4145
"G0500010","1910","Arkansas","050","Arkansas","0010","Arkansas",16103,12973
"G0500030","1910","Arkansas","050","Ashley","0030","Ashley",25268,19734
"G0500050","1910","Arkansas","050","Baxter","0050","Baxter",10389,9298
"G0500070","1910","Arkansas","050","Benton","0070","Benton",33389,31611
"G0500090","1910","Arkansas","050","Boone","0090","Boone",14318,16396
"G0500110","1910","Arkansas","050","Bradley","0110","Bradley",14518,9651
"G0500130","1910","Arkansas","050","Calhoun","0130","Calhoun",9894,8539
"G0500150","1910","Arkansas","050","Carroll","0150","Carroll",16829,18848
