GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLOCKA,BLCK_GRPA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,ZIPA,AREANAME,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015
"G0100010","1980","3","6","Alabama","01","5240","Autauga","001",,,,,,,,,,,,,"AUTAUGA COUNTY",24814,7225,58,0,0,41,3,13,7,8,6,4,0,0,80
"G0100030","1980","3","6","Alabama","01","5160","Baldwin","003",,,,,,,,,,,,,"BALDWIN COUNTY",65840,12048,432,0,0,13,4,9,20,13,30,7,0,0,140
"G0100050","1980","3","6","Alabama","01",,"Barbour","005",,,,,,,,,,,,,"BARBOUR COUNTY",13693,11003,30,0,0,9,7,2,2,3,0,2,0,0,5
"G0100070","1980","3","6","Alabama","01",,"Bibb","007",,,,,,,,,,,,,"BIBB COUNTY",12029,3675,2,0,0,0,0,0,1,7,0,3,0,0,6
"G0100090","1980","3","6","Alabama","01",,"Blount","009",,,,,,,,,,,,,"BLOUNT COUNTY",35761,598,56,0,0,1,0,0,11,5,0,1,0,0,26
"G0100110","1980","3","6","Alabama","01",,"Bullock","011",,,,,,,,,,,,,"BULLOCK COUNTY",3427,7160,1,0,0,1,1,0,0,0,0,2,0,0,4
"G0100130","1980","3","6","Alabama","01",,"Butler","013",,,,,,,,,,,,,"BUTLER COUNTY",13260,8397,5,0,0,3,0,4,3,2,0,0,1,0,5
"G0100150","1980","3","6","Alabama","01","0450","Calhoun","015",,,,,,,,,,,,,"CALHOUN COUNTY",97313,21074,215,5,1,57,37,57,192,28,30,44,37,26,645
"G0100170","1980","3","6","Alabama","01",,"Chambers","017",,,,,,,,,,,,,"CHAMBERS COUNTY",25222,13894,14,2,0,2,0,9,0,9,0,3,0,0,36
"G0100190","1980","3","6","Alabama","01",,"Cherokee","019",,,,,,,,,,,,,"CHEROKEE COUNTY",17185,1550,13,2,0,3,0,0,1,4,0,0,0,0,2
"G0100210","1980","3","6","Alabama","01",,"Chilton","021",,,,,,,,,,,,,"CHILTON COUNTY",26942,3633,9,0,0,6,2,6,1,4,1,0,0,0,8
"G0100230","1980","3","6","Alabama","01",,"Choctaw","023",,,,,,,,,,,,,"CHOCTAW COUNTY",9490,7319,7,0,0,2,1,0,4,3,0,0,0,0,13
"G0100250","1980","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,"CLARKE COUNTY",15806,11827,42,0,0,3,0,4,2,4,0,3,0,0,11
"G0100270","1980","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,"CLAY COUNTY",11424,2268,4,0,0,1,0,0,0,3,0,0,0,0,3
