GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,RES_ONLYA,TRUSTA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,FL8001,FL8002,FL9001,FL9002,FL9003,FL9004,FL9005,FL9006,FMR001,FMR002,FMR003,FMR004,FMR005,FMR006,FMR007
"G0100010","2000","3","6","Alabama","01","Autauga","001",,,,,,,,,,,,,"5240","9999","9999",,,,,,,"Autauga County",43266,405,35221,7473,194,200,13,165,35221,7473,194,200,13,165,405
"G0100030","2000","3","6","Alabama","01","Baldwin","003",,,,,,,,,,,,,"5160","9999","9999",,,,,,,"Baldwin County",138949,1466,122366,14444,809,537,38,755,122366,14444,809,537,38,755,1466
"G0100050","2000","3","6","Alabama","01","Barbour","005",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Barbour County",28826,212,14887,13451,131,84,8,265,14887,13451,131,84,8,265,212
"G0100070","2000","3","6","Alabama","01","Bibb","007",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Bibb County",20719,107,15966,4624,49,17,2,61,15966,4624,49,17,2,61,107
"G0100090","2000","3","6","Alabama","01","Blount","009",,,,,,,,,,,,,"1000","9999","9999",,,,,,,"Blount County",50505,519,48512,606,250,71,12,1054,48512,606,250,71,12,1054,519
"G0100110","2000","3","6","Alabama","01","Bullock","011",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Bullock County",11632,82,2958,8564,44,21,2,43,2958,8564,44,21,2,43,82
"G0100130","2000","3","6","Alabama","01","Butler","013",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Butler County",21315,84,12492,8732,45,35,0,11,12492,8732,45,35,0,11,84
"G0100150","2000","3","6","Alabama","01","Calhoun","015",,,,,,,,,,,,,"0450","9999","9999",,,,,,,"Calhoun County",111168,1081,88537,20810,445,633,76,667,88537,20810,445,633,76,667,1081
"G0100170","2000","3","6","Alabama","01","Chambers","017",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Chambers County",36374,209,22271,13943,49,68,0,43,22271,13943,49,68,0,43,209
"G0100190","2000","3","6","Alabama","01","Cherokee","019",,,,,,,,,,,,,"9999","9999","9999",,,,,,,"Cherokee County",23790,198,22268,1330,75,34,0,83,22268,1330,75,34,0,83,198
