GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B48001,B48002
"G0100010","1960","Alabama","010","Autauga","0010","Autauga",10839,7900
"G0100030","1960","Alabama","010","Baldwin","0030","Baldwin",38759,10329
"G0100050","1960","Alabama","010","Barbour","0050","Barbour",11850,12850
"G0100070","1960","Alabama","010","Bibb","0070","Bibb",9940,4417
"G0100090","1960","Alabama","010","Blount","0090","Blount",24613,836
"G0100110","1960","Alabama","010","Bullock","0110","Bullock",3781,9681
"G0100130","1960","Alabama","010","Butler","0130","Butler",13575,10985
"G0100150","1960","Alabama","010","Calhoun","0150","Calhoun",77805,18073
"G0100170","1960","Alabama","010","Chambers","0170","Chambers",23959,13869
"G0100190","1960","Alabama","010","Cherokee","0190","Cherokee",14610,1693
"G0100210","1960","Alabama","010","Chilton","0210","Chilton",21615,4078
"G0100230","1960","Alabama","010","Choctaw","0230","Choctaw",9012,8858
"G0100250","1960","Alabama","010","Clarke","0250","Clarke",12987,12751
"G0100270","1960","Alabama","010","Clay","0270","Clay",10372,2028
"G0100290","1960","Alabama","010","Cleburne","0290","Cleburne",10212,699
"G0100310","1960","Alabama","010","Coffee","0310","Coffee",24220,6363
"G0100330","1960","Alabama","010","Colbert","0330","Colbert",37524,8982
"G0100350","1960","Alabama","010","Conecuh","0350","Conecuh",9674,8088
"G0100370","1960","Alabama","010","Coosa","0370","Coosa",6847,3879
"G0100390","1960","Alabama","010","Covington","0390","Covington",29880,5751
"G0100410","1960","Alabama","010","Crenshaw","0410","Crenshaw",10266,4643
"G0100430","1960","Alabama","010","Cullman","0430","Cullman",45051,521
"G0100450","1960","Alabama","010","Dale","0450","Dale",25459,5607
"G0100470","1960","Alabama","010","Dallas","0470","Dallas",23952,32715
"G0100490","1960","Alabama","010","DeKalb","0490","Dekalb",40596,821
"G0100510","1960","Alabama","010","Elmore","0510","Elmore",20221,10303
"G0100530","1960","Alabama","010","Escambia","0530","Escambia",22052,11459
"G0100550","1960","Alabama","010","Etowah","0550","Etowah",81982,14998
"G0100570","1960","Alabama","010","Fayette","0570","Fayette",13574,2574
"G0100590","1960","Alabama","010","Franklin","0590","Franklin",20756,1232
"G0100610","1960","Alabama","010","Geneva","0610","Geneva",18945,3365
"G0100630","1960","Alabama","010","Greene","0630","Greene",2546,11054
"G0100650","1960","Alabama","010","Hale","0650","Hale",5726,13811
"G0100670","1960","Alabama","010","Henry","0670","Henry",8321,6965
"G0100690","1960","Alabama","010","Houston","0690","Houston",36832,13886
"G0100710","1960","Alabama","010","Jackson","0710","Jackson",34443,2238
"G0100730","1960","Alabama","010","Jefferson","0730","Jefferson",415035,219829
"G0100750","1960","Alabama","010","Lamar","0750","Lamar",12168,2103
"G0100770","1960","Alabama","010","Lauderdale","0770","Lauderdale",54355,7267
"G0100790","1960","Alabama","010","Lawrence","0790","Lawrence",19033,5468
"G0100810","1960","Alabama","010","Lee","0810","Lee",31458,18296
"G0100830","1960","Alabama","010","Limestone","0830","Limestone",28884,7629
"G0100850","1960","Alabama","010","Lowndes","0850","Lowndes",2978,12439
"G0100870","1960","Alabama","010","Macon","0870","Macon",4405,22312
"G0100890","1960","Alabama","010","Madison","0890","Madison",95283,22065
"G0100910","1960","Alabama","010","Marengo","0910","Marengo",10264,16834
"G0100930","1960","Alabama","010","Marion","0930","Marion",21104,733
"G0100950","1960","Alabama","010","Marshall","0950","Marshall",46894,1124
"G0100970","1960","Alabama","010","Mobile","0970","Mobile",212873,101428
"G0100990","1960","Alabama","010","Monroe","0990","Monroe",11030,11342
"G0101010","1960","Alabama","010","Montgomery","1010","Montgomery",104485,64725
"G0101030","1960","Alabama","010","Morgan","1030","Morgan",52807,7647
"G0101050","1960","Alabama","010","Perry","1050","Perry",5943,11415
"G0101070","1960","Alabama","010","Pickens","1070","Pickens",12098,9784
"G0101090","1960","Alabama","010","Pike","1090","Pike",15242,10745
"G0101110","1960","Alabama","010","Randolph","1110","Randolph",14501,4976
"G0101130","1960","Alabama","010","Russell","1130","Russell",23365,22986
"G0101150","1960","Alabama","010","St Clair","1150","St Clair",21116,4272
"G0101170","1960","Alabama","010","Shelby","1170","Shelby",26049,6083
"G0101190","1960","Alabama","010","Sumter","1190","Sumter",4743,15298
"G0101210","1960","Alabama","010","Talladega","1210","Talladega",44525,20970
"G0101230","1960","Alabama","010","Tallapoosa","1230","Tallapoosa",24888,10119
"G0101250","1960","Alabama","010","Tuscaloosa","1250","Tuscaloosa",77719,31328
"G0101270","1960","Alabama","010","Walker","1270","Walker",48584,5627
"G0101290","1960","Alabama","010","Washington","1290","Washington",10066,5306
"G0101310","1960","Alabama","010","Wilcox","1310","Wilcox",4141,14598
"G0101330","1960","Alabama","010","Winston","1330","Winston",14777,81
"G0200105","1960","Alaska","020","Aleutian Islands - Elec District 14","0105","Aleutian Islands - Elec District 14",3690,2321
"G0200205","1960","Alaska","020","Anchorage - Elec District 10","0205","Anchorage - Elec District 10",76575,6258
"G0200405","1960","Alaska","020","Barrow - Elec District 21","0405","Barrow - Elec District 21",508,1625
