GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE6001,AE6002,AE6003,AE3001
"G0100010","1850","Alabama","010","Autauga","0010","Autauga",6274,19,8730,6274
"G0100030","1850","Alabama","010","Baldwin","0030","Baldwin",2100,96,2218,2100
"G0100050","1850","Alabama","010","Barbour","0050","Barbour",12842,10,10780,12842
"G0100055","1850","Alabama","010","Benton","0055","Benton",13397,3,3763,13397
"G0100070","1850","Alabama","010","Bibb","0070","Bibb",7097,11,2861,7097
"G0100090","1850","Alabama","010","Blount","0090","Blount",6941,0,426,6941
"G0100130","1850","Alabama","010","Butler","0130","Butler",7162,35,3639,7162
"G0100170","1850","Alabama","010","Chambers","0170","Chambers",12784,18,11158,12784
"G0100190","1850","Alabama","010","Cherokee","0190","Cherokee",12170,23,1691,12170
"G0100230","1850","Alabama","010","Choctaw","0230","Choctaw",4620,0,3769,4620
"G0100250","1850","Alabama","010","Clarke","0250","Clarke",4901,9,4876,4901
"G0100310","1850","Alabama","010","Coffee","0310","Coffee",5380,3,557,5380
"G0100350","1850","Alabama","010","Conecuh","0350","Conecuh",4925,3,4394,4925
"G0100370","1850","Alabama","010","Coosa","0370","Coosa",10414,9,4120,10414
"G0100390","1850","Alabama","010","Covington","0390","Covington",3077,88,480,3077
"G0100450","1850","Alabama","010","Dale","0450","Dale",5622,3,757,5622
"G0100470","1850","Alabama","010","Dallas","0470","Dallas",7461,8,22258,7461
"G0100490","1850","Alabama","010","DeKalb","0490","Dekalb",7730,9,506,7730
"G0100570","1850","Alabama","010","Fayette","0570","Fayette",8451,9,1221,8451
"G0100590","1850","Alabama","010","Franklin","0590","Franklin",11398,15,8197,11398
"G0100630","1850","Alabama","010","Greene","0630","Greene",9265,49,22127,9265
"G0100655","1850","Alabama","010","Hancock","0655","Hancock",1480,0,62,1480
"G0100670","1850","Alabama","010","Henry","0670","Henry",6776,1,2242,6776
"G0100710","1850","Alabama","010","Jackson","0710","Jackson",11754,42,2292,11754
"G0100730","1850","Alabama","010","Jefferson","0730","Jefferson",6714,8,2267,6714
"G0100770","1850","Alabama","010","Lauderdale","0770","Lauderdale",11097,60,6015,11097
"G0100790","1850","Alabama","010","Lawrence","0790","Lawrence",8342,64,6852,8342
"G0100830","1850","Alabama","010","Limestone","0830","Limestone",8399,21,8063,8399
"G0100850","1850","Alabama","010","Lowndes","0850","Lowndes",7258,8,14649,7258
"G0100870","1850","Alabama","010","Macon","0870","Macon",11286,16,15596,11286
"G0100890","1850","Alabama","010","Madison","0890","Madison",11937,164,14326,11937
"G0100910","1850","Alabama","010","Marengo","0910","Marengo",7101,37,20693,7101
"G0100930","1850","Alabama","010","Marion","0930","Marion",6922,3,908,6922
"G0100950","1850","Alabama","010","Marshall","0950","Marshall",7952,26,868,7952
"G0100970","1850","Alabama","010","Mobile","0970","Mobile",17303,941,9356,17303
"G0100990","1850","Alabama","010","Monroe","0990","Monroe",5648,40,6325,5648
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery",10169,115,19427,10169
"G0101030","1850","Alabama","010","Morgan","1030","Morgan",6637,51,3437,6637
"G0101050","1850","Alabama","010","Perry","1050","Perry",8342,26,13917,8342
"G0101070","1850","Alabama","010","Pickens","1070","Pickens",10972,6,10534,10972
"G0101090","1850","Alabama","010","Pike","1090","Pike",12102,24,3794,12102
"G0101110","1850","Alabama","010","Randolph","1110","Randolph",10616,29,936,10616
"G0101130","1850","Alabama","010","Russell","1130","Russell",8405,32,11111,8405
"G0101150","1850","Alabama","010","St Clair","1150","St Clair",5501,7,1321,5501
"G0101170","1850","Alabama","010","Shelby","1170","Shelby",7153,7,2376,7153
"G0101190","1850","Alabama","010","Sumter","1190","Sumter",7369,50,14831,7369
"G0101210","1850","Alabama","010","Talladega","1210","Talladega",11617,36,6971,11617
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa",11511,0,4073,11511
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa",10571,8,7477,10571
"G0101270","1850","Alabama","010","Walker","1270","Walker",4857,1,266,4857
"G0101290","1850","Alabama","010","Washington","1290","Washington",1195,22,1496,1195
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox",5517,0,11835,5517
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas",1694,13,1538,1694
"G0500030","1850","Arkansas","050","Ashley","0030","Ashley",1409,5,644,1409
"G0500070","1850","Arkansas","050","Benton","0070","Benton",3508,1,201,3508
"G0500110","1850","Arkansas","050","Bradley","0110","Bradley",2601,2,1226,2601
"G0500150","1850","Arkansas","050","Carroll","0150","Carroll",4391,10,213,4391
"G0500170","1850","Arkansas","050","Chicot","0170","Chicot",1122,9,3984,1122
"G0500190","1850","Arkansas","050","Clark","0190","Clark",3113,7,950,3113
"G0500290","1850","Arkansas","050","Conway","0290","Conway",3339,4,240,3339
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford",6935,92,933,6935
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden",1842,5,801,1842
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas",4333,2,2542,4333
"G0500410","1850","Arkansas","050","Desha","0410","Desha",1685,57,1169,1685
"G0500430","1850","Arkansas","050","Drew","0430","Drew",2361,0,915,2361
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin",3497,3,472,3497
"G0500490","1850","Arkansas","050","Fulton","0490","Fulton",1768,1,50,1768
"G0500550","1850","Arkansas","050","Greene","0550","Greene",2530,10,53,2530
"G0500570","1850","Arkansas","050","Hempstead","0570","Hempstead",5180,32,2460,5180
"G0500590","1850","Arkansas","050","Hot Spring","0590","Hot Spring",3237,11,361,3237
"G0500630","1850","Arkansas","050","Independence","0630","Independence",6927,12,828,6927
"G0500650","1850","Arkansas","050","Izard","0650","Izard",3017,0,196,3017
"G0500670","1850","Arkansas","050","Jackson","0670","Jackson",2517,6,563,2517
"G0500690","1850","Arkansas","050","Jefferson","0690","Jefferson",3197,16,2621,3197
"G0500710","1850","Arkansas","050","Johnson","0710","Johnson",4489,7,731,4489
"G0500730","1850","Arkansas","050","Lafayette","0730","Lafayette",1900,0,3320,1900
"G0500750","1850","Arkansas","050","Lawrence","0750","Lawrence",4882,4,388,4882
"G0500870","1850","Arkansas","050","Madison","0870","Madison",4659,0,164,4659
"G0500890","1850","Arkansas","050","Marion","0890","Marion",2053,129,126,2053
"G0500930","1850","Arkansas","050","Mississippi","0930","Mississippi",1496,7,865,1496
"G0500950","1850","Arkansas","050","Monroe","0950","Monroe",1651,3,395,1651
"G0500970","1850","Arkansas","050","Montgomery","0970","Montgomery",1891,1,66,1891
"G0501010","1850","Arkansas","050","Newton","1010","Newton",1704,7,47,1704
"G0501030","1850","Arkansas","050","Ouachita","1030","Ouachita",6285,2,3304,6285
"G0501050","1850","Arkansas","050","Perry","1050","Perry",957,6,15,957
"G0501070","1850","Arkansas","050","Phillips","1070","Phillips",4341,3,2591,4341
"G0501090","1850","Arkansas","050","Pike","1090","Pike",1751,0,110,1751
"G0501110","1850","Arkansas","050","Poinsett","1110","Poinsett",2026,3,279,2026
"G0501130","1850","Arkansas","050","Polk","1130","Polk",1196,0,67,1196
"G0501150","1850","Arkansas","050","Pope","1150","Pope",4231,0,479,4231
"G0501170","1850","Arkansas","050","Prairie","1170","Prairie",1812,12,273,1812
"G0501190","1850","Arkansas","050","Pulaski","1190","Pulaski",4506,32,1119,4506
"G0501210","1850","Arkansas","050","Randolph","1210","Randolph",3029,3,243,3029
"G0501230","1850","Arkansas","050","St Francis","1230","St Francis",3770,2,707,3770
"G0501250","1850","Arkansas","050","Saline","1250","Saline",3394,6,503,3394
"G0501270","1850","Arkansas","050","Scott","1270","Scott",2921,16,146,2921
"G0501290","1850","Arkansas","050","Searcy","1290","Searcy",1950,0,29,1950
"G0501330","1850","Arkansas","050","Sevier","1330","Sevier",2837,31,1372,2837
"G0501390","1850","Arkansas","050","Union","1390","Union",5526,5,4767,5526
"G0501410","1850","Arkansas","050","Van Buren","1410","Van Buren",2761,0,103,2761
"G0501430","1850","Arkansas","050","Washington","1430","Washington",8757,14,1199,8757
"G0501450","1850","Arkansas","050","White","1450","White",2309,2,308,2309
"G0501490","1850","Arkansas","050","Yell","1490","Yell",2902,15,424,2902
"G0600070","1850","California","060","Butte","0070","Butte",3541,33,0,3541
"G0600090","1850","California","060","Calaveras","0090","Calaveras",16802,82,0,16802
"G0600110","1850","California","060","Colusa","0110","Colusa",115,0,0,115
"G0600115","1850","California","060","Colusa-Shasta-Trinity [multi-county reporting area]","0115","Colusa-Shasta-Trinity (multi-county reporting area)",,,,
"G0600130","1850","California","060","Contra Costa","0130","Contra Costa",,,,
"G0600170","1850","California","060","El Dorado","0170","El Dorado",19908,149,0,19908
"G0600370","1850","California","060","Los Angeles","0370","Los Angeles",3518,12,0,3518
"G0600410","1850","California","060","Marin","0410","Marin",321,2,0,321
"G0600430","1850","California","060","Mariposa","0430","Mariposa",4184,195,0,4184
"G0600450","1850","California","060","Mendocino","0450","Mendocino",55,0,0,55
"G0600530","1850","California","060","Monterey","0530","Monterey",1854,18,0,1854
"G0600550","1850","California","060","Napa","0550","Napa",405,0,0,405
"G0600670","1850","California","060","Sacramento","0670","Sacramento",8875,212,0,8875
"G0600730","1850","California","060","San Diego","0730","San Diego",790,8,0,790
"G0600750","1850","California","060","San Francisco","0750","San Francisco",,,,
"G0600770","1850","California","060","San Joaquin","0770","San Joaquin",3616,31,0,3616
"G0600790","1850","California","060","San Luis Obispo","0790","San Luis Obispo",335,1,0,335
"G0600830","1850","California","060","Santa Barbara","0830","Santa Barbara",1181,4,0,1181
"G0600850","1850","California","060","Santa Clara","0850","Santa Clara",,,,
"G0600870","1850","California","060","Santa Cruz","0870","Santa Cruz",643,0,0,643
"G0600890","1850","California","060","Shasta","0890","Shasta",378,0,0,378
"G0600950","1850","California","060","Solano","0950","Solano",543,37,0,543
"G0600970","1850","California","060","Sonoma","0970","Sonoma",559,1,0,559
"G0601010","1850","California","060","Sutter","1010","Sutter",3424,20,0,3424
"G0601050","1850","California","060","Trinity","1050","Trinity",1617,18,0,1617
"G0601090","1850","California","060","Tuolumne","1090","Tuolumne",8288,63,0,8288
"G0601130","1850","California","060","Yolo","1130","Yolo",1076,10,0,1076
"G0601150","1850","California","060","Yuba","1150","Yuba",9607,66,0,9607
"G0900010","1850","Connecticut","090","Fairfield","0010","Fairfield",58319,1456,0,58319
"G0900030","1850","Connecticut","090","Hartford","0030","Hartford",68707,1260,0,68707
"G0900050","1850","Connecticut","090","Litchfield","0050","Litchfield",44222,1031,0,44222
"G0900070","1850","Connecticut","090","Middlesex","0070","Middlesex",26927,289,0,26927
"G0900090","1850","Connecticut","090","New Haven","0090","New Haven",64159,1429,0,64159
"G0900110","1850","Connecticut","090","New London","0110","New London",50313,1508,0,50313
"G0900130","1850","Connecticut","090","Tolland","0130","Tolland",19946,145,0,19946
"G0900150","1850","Connecticut","090","Windham","0150","Windham",30506,575,0,30506
"G1000010","1850","Delaware","100","Kent","0010","Kent",16084,6385,347,16084
"G1000030","1850","Delaware","100","New Castle","0030","New Castle",34765,7621,394,34765
"G1000050","1850","Delaware","100","Sussex","0050","Sussex",20320,4067,1549,20320
"G1100017","1850","District Of Columbia","110","Georgetown","0017","Georgetown",6080,1561,725,6080
"G1100075","1850","District Of Columbia","110","Rural Washington county","0075","Rural Washington county",2131,340,849,2131
"G1100115","1850","District Of Columbia","110","Washington City","0115","Washington City",29730,8158,2113,29730
"G1200010","1850","Florida","120","Alachua","0010","Alachua",1617,1,906,1617
"G1200065","1850","Florida","120","Benton","0065","Benton",604,0,322,604
"G1200130","1850","Florida","120","Calhoun","0130","Calhoun",886,38,453,886
"G1200230","1850","Florida","120","Columbia","0230","Columbia",3541,1,1266,3541
"G1200250","1850","Florida","120","Dade","0250","Dade",147,1,11,147
"G1200310","1850","Florida","120","Duval","0310","Duval",2338,95,2106,2338
"G1200330","1850","Florida","120","Escambia","0330","Escambia",2644,375,1332,2644
"G1200370","1850","Florida","120","Franklin","0370","Franklin",1184,0,377,1184
"G1200390","1850","Florida","120","Gadsden","0390","Gadsden",3897,7,4880,3897
"G1200470","1850","Florida","120","Hamilton","0470","Hamilton",1817,9,685,1817
"G1200570","1850","Florida","120","Hillsborough","0570","Hillsborough",1706,11,660,1706
"G1200590","1850","Florida","120","Holmes","0590","Holmes",1037,5,163,1037
"G1200630","1850","Florida","120","Jackson","0630","Jackson",3075,30,3534,3075
"G1200650","1850","Florida","120","Jefferson","0650","Jefferson",2775,5,4938,2775
"G1200730","1850","Florida","120","Leon","0730","Leon",3183,56,8203,3183
"G1200750","1850","Florida","120","Levy","0750","Levy",320,0,145,320
"G1200790","1850","Florida","120","Madison","0790","Madison",2802,0,2688,2802
"G1200830","1850","Florida","120","Marion","0830","Marion",2068,1,1269,2068
"G1200870","1850","Florida","120","Monroe","0870","Monroe",2088,126,431,2088
"G1200890","1850","Florida","120","Nassau","0890","Nassau",1061,26,1077,1061
"G1200950","1850","Florida","120","Orange","0950","Orange",238,2,226,238
"G1201070","1850","Florida","120","Putnam","1070","Putnam",473,10,204,473
"G1201090","1850","Florida","120","St Johns","1090","St Johns",1417,115,993,1417
"G1201115","1850","Florida","120","St Lucie (old)","1115","St Lucie (old)",111,1,27,111
"G1201130","1850","Florida","120","Santa Rosa","1130","Santa Rosa",2095,4,784,2095
"G1201290","1850","Florida","120","Wakulla","1290","Wakulla",1164,1,790,1164
"G1201310","1850","Florida","120","Walton","1310","Walton",1481,0,336,1481
"G1201330","1850","Florida","120","Washington","1330","Washington",1434,12,504,1434
"G1300010","1850","Georgia","130","Appling","0010","Appling",2520,25,404,2520
"G1300070","1850","Georgia","130","Baker","0070","Baker",4351,4,3765,4351
"G1300090","1850","Georgia","130","Baldwin","0090","Baldwin",3519,27,4602,3519
"G1300210","1850","Georgia","130","Bibb","0210","Bibb",7009,53,5637,7009
"G1300290","1850","Georgia","130","Bryan","0290","Bryan",1164,15,2245,1164
"G1300310","1850","Georgia","130","Bulloch","0310","Bulloch",2840,0,1460,2840
"G1300330","1850","Georgia","130","Burke","0330","Burke",5118,150,10832,5118
"G1300350","1850","Georgia","130","Butts","0350","Butts",3680,3,2805,3680
"G1300390","1850","Georgia","130","Camden","0390","Camden",2069,4,4246,2069
"G1300395","1850","Georgia","130","Campbell","0395","Campbell",5718,7,1507,5718
"G1300450","1850","Georgia","130","Carroll","0450","Carroll",8252,4,1101,8252
"G1300455","1850","Georgia","130","Cass","0455","Cass",10271,21,3008,10271
"G1300458","1850","Georgia","130","Cass-Cordon [multi-county reporting area]","0458","Cass-Cordon (multi-county reporting area)",,,,
"G1300510","1850","Georgia","130","Chatham","0510","Chatham",9152,731,14018,9152
"G1300550","1850","Georgia","130","Chattooga","0550","Chattooga",5131,4,1680,5131
"G1300570","1850","Georgia","130","Cherokee","0570","Cherokee",11630,13,1157,11630
"G1300590","1850","Georgia","130","Clarke","0590","Clarke",5513,17,5589,5513
"G1300650","1850","Georgia","130","Clinch","0650","Clinch",506,2,129,506
"G1300670","1850","Georgia","130","Cobb","0670","Cobb",11568,3,2272,11568
"G1300730","1850","Georgia","130","Columbia","0730","Columbia",3617,72,8272,3617
"G1300770","1850","Georgia","130","Coweta","0770","Coweta",8202,18,5415,8202
"G1300790","1850","Georgia","130","Crawford","0790","Crawford",4342,13,4629,4342
"G1300830","1850","Georgia","130","Dade","0830","Dade",2532,0,148,2532
"G1300870","1850","Georgia","130","Decatur","0870","Decatur",4618,5,3639,4618
"G1300890","1850","Georgia","130","DeKalb","0890","De Kalb",11372,32,2924,11372
"G1300930","1850","Georgia","130","Dooly","0930","Dooly",5580,6,2775,5580
"G1300990","1850","Georgia","130","Early","0990","Early",3716,1,3529,3716
"G1301030","1850","Georgia","130","Effingham","1030","Effingham",2007,9,1848,2007
"G1301050","1850","Georgia","130","Elbert","1050","Elbert",6676,16,6267,6676
"G1301070","1850","Georgia","130","Emanuel","1070","Emanuel",3591,24,962,3591
"G1301130","1850","Georgia","130","Fayette","1130","Fayette",6741,3,1965,6741
"G1301150","1850","Georgia","130","Floyd","1150","Floyd",5202,4,2999,5202
"G1301170","1850","Georgia","130","Forsyth","1170","Forsyth",7812,11,1027,7812
"G1301190","1850","Georgia","130","Franklin","1190","Franklin",9076,55,2382,9076
"G1301230","1850","Georgia","130","Gilmer","1230","Gilmer",8236,4,200,8236
"G1301270","1850","Georgia","130","Glynn","1270","Glynn",696,5,4232,696
"G1301290","1850","Georgia","130","Gordon","1290","Gordon",5156,0,828,5156
"G1301330","1850","Georgia","130","Greene","1330","Greene",4744,58,8266,4744
"G1301350","1850","Georgia","130","Gwinnett","1350","Gwinnett",8952,11,2294,8952
"G1301370","1850","Georgia","130","Habersham","1370","Habersham",7675,2,1218,7675
"G1301390","1850","Georgia","130","Hall","1390","Hall",7370,7,1336,7370
"G1301410","1850","Georgia","130","Hancock","1410","Hancock",4210,62,7306,4210
"G1301450","1850","Georgia","130","Harris","1450","Harris",6709,30,7982,6709
"G1301490","1850","Georgia","130","Heard","1490","Heard",4520,3,2400,4520
"G1301510","1850","Georgia","130","Henry","1510","Henry",9742,15,4969,9742
"G1301530","1850","Georgia","130","Houston","1530","Houston",6510,16,9924,6510
"G1301550","1850","Georgia","130","Irwin","1550","Irwin",2883,1,450,2883
"G1301570","1850","Georgia","130","Jackson","1570","Jackson",6808,19,2941,6808
"G1301590","1850","Georgia","130","Jasper","1590","Jasper",4321,31,7134,4321
"G1301630","1850","Georgia","130","Jefferson","1630","Jefferson",3717,47,5367,3717
"G1301690","1850","Georgia","130","Jones","1690","Jones",3899,46,6279,3899
"G1301750","1850","Georgia","130","Laurens","1750","Laurens",3459,9,2974,3459
"G1301770","1850","Georgia","130","Lee","1770","Lee",3025,8,3627,3025
"G1301790","1850","Georgia","130","Liberty","1790","Liberty",2002,16,5908,2002
"G1301810","1850","Georgia","130","Lincoln","1810","Lincoln",2187,31,3780,2187
"G1301850","1850","Georgia","130","Lowndes","1850","Lowndes",5339,20,2355,5339
"G1301870","1850","Georgia","130","Lumpkin","1870","Lumpkin",7995,21,939,7995
"G1301910","1850","Georgia","130","McIntosh","1910","Mcintosh",1326,72,4629,1326
"G1301930","1850","Georgia","130","Macon","1930","Macon",4088,3,2961,4088
"G1301950","1850","Georgia","130","Madison","1950","Madison",3763,7,1933,3763
"G1301970","1850","Georgia","130","Marion","1970","Marion",6667,9,3604,6667
"G1301990","1850","Georgia","130","Meriwether","1990","Meriwether",8481,2,7993,8481
