GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AH3001,AH3002,AH3003,AH3004,AH3005,AH3006
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",7105,14,9607,13,,
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",3585,140,3714,91,,
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",14629,33,16150,0,,
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",8027,25,3842,0,,
"G0100090","1860","Alabama","010","Blount","0090","Blount",10193,6,666,0,,
"G0100130","1860","Alabama","010","Butler","0130","Butler",11260,44,6818,0,,
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",17169,28,4342,0,,
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",11315,50,11849,0,,
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",15321,37,3002,0,,
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",6767,16,7094,0,,
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",7599,14,7436,0,,
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",8200,6,1417,0,,
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",6419,10,4882,0,,
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",14044,11,5212,6,,
"G0100390","1860","Alabama","010","Covington","0390","Covington",5631,17,821,0,,
"G0100450","1860","Alabama","010","Dale","0450","Dale",10379,7,1809,2,,
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",7785,80,25760,0,,
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",9853,4,848,0,,
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",11145,2,1703,0,,
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",10119,13,8495,0,,
"G0100630","1860","Alabama","010","Greene","0630","Greene",7251,10,23598,0,,
"G0100670","1860","Alabama","010","Henry","0670","Henry",10464,21,4433,0,,
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",14811,67,3405,0,,
