GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AVF001,AVF002,AVF003,AVF004,AVF005,AVF006,AVF007,AVF008,AVF009,AVF010,AVF011,AVF012,AV2001
"G0100010","1890","Alabama","010","Autauga","0010","Autauga",8418,8710,7292,0,0,0,0,0,0,116,1,2,4796
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin",3263,3675,2845,0,0,0,0,0,0,0,38,0,5678
"G0100050","1890","Alabama","010","Barbour","0050","Barbour",21442,20884,17165,0,0,0,0,0,0,2,4,1,13454
"G0100070","1890","Alabama","010","Bibb","0070","Bibb",4744,3600,2408,0,0,0,0,0,0,0,0,0,9080
"G0100090","1890","Alabama","010","Blount","0090","Blount",1770,1159,682,0,0,0,0,0,0,2,0,0,20155
"G0100110","1890","Alabama","010","Bullock","0110","Bullock",21005,22119,17251,0,0,0,0,0,0,3,3,0,6055
"G0100130","1890","Alabama","010","Butler","0130","Butler",10315,8965,6391,0,0,0,0,0,0,0,0,0,11326
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun",9879,5457,3892,3,0,0,0,0,0,6,0,0,23947
"G0100170","1890","Alabama","010","Chambers","0170","Chambers",13858,12075,8588,0,0,0,0,0,0,1,1,0,12460
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee",2803,2690,1480,0,0,0,0,0,0,0,0,0,17656
"G0100210","1890","Alabama","010","Chilton","0210","Chilton",3066,2142,1137,0,0,0,0,0,0,0,0,0,11483
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw",9313,8341,6872,0,0,0,0,0,0,4,0,2,8209
"G0100250","1890","Alabama","010","Clarke","0250","Clarke",12939,10086,7565,0,0,0,0,0,0,0,2,0,9685
"G0100270","1890","Alabama","010","Clay","0270","Clay",1704,1068,737,0,0,0,0,0,0,0,0,0,14061
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne",791,668,576,0,0,0,0,0,0,0,0,0,12427
"G0100310","1890","Alabama","010","Coffee","0310","Coffee",1933,1288,1020,0,0,0,0,0,0,0,0,0,10237
"G0100330","1890","Alabama","010","Colbert","0330","Colbert",7828,6950,4639,0,0,0,0,0,0,0,0,0,12361
"G0100350","1890","Alabama","010","Conecuh","0350","Conecuh",6606,6380,4901,0,0,0,1,0,0,0,1,6,7987
"G0100370","1890","Alabama","010","Coosa","0370","Coosa",5354,5059,3394,0,0,0,0,0,0,0,4,7,10552
"G0100390","1890","Alabama","010","Covington","0390","Covington",841,671,599,0,0,0,0,0,0,0,0,0,6695
"G0100410","1890","Alabama","010","Crenshaw","0410","Crenshaw",3679,2608,2206,0,0,0,0,0,0,1,0,0,11745
"G0100430","1890","Alabama","010","Cullman","0430","Cullman",38,43,0,0,0,0,0,0,0,0,0,0,13401
"G0100450","1890","Alabama","010","Dale","0450","Dale",3358,2122,1797,0,0,0,0,0,0,0,2,0,13867
"G0100470","1890","Alabama","010","Dallas","0470","Dallas",41329,40007,32152,2,0,0,0,0,0,3,1,1,8016
"G0100490","1890","Alabama","010","DeKalb","0490","Dekalb",1204,682,470,2,0,0,0,0,0,3,0,0,19897
"G0100510","1890","Alabama","010","Elmore","0510","Elmore",10288,8755,6730,1,0,0,0,0,0,0,0,0,11443
"G0100530","1890","Alabama","010","Escambia","0530","Escambia",2650,1590,951,0,0,0,0,0,0,173,23,43,5843
"G0100550","1890","Alabama","010","Etowah","0550","Etowah",3755,2502,1708,0,0,0,0,0,0,0,0,0,18171
"G0100570","1890","Alabama","010","Fayette","0570","Fayette",1682,1262,1077,0,0,0,0,0,0,0,0,0,11141
"G0100590","1890","Alabama","010","Franklin","0590","Franklin",1160,1076,1313,0,0,0,1,0,0,0,0,0,9520
"G0100610","1890","Alabama","010","Geneva","0610","Geneva",1026,513,227,0,0,0,0,0,0,0,0,0,9664
"G0100630","1890","Alabama","010","Greene","0630","Greene",18771,18165,14541,0,0,0,0,0,0,1,1,0,3235
"G0100650","1890","Alabama","010","Hale","0650","Hale",22321,21650,16990,0,0,0,0,0,0,0,0,0,5180
"G0100670","1890","Alabama","010","Henry","0670","Henry",8809,6767,4657,0,0,0,0,0,0,0,0,0,16038
"G0100710","1890","Alabama","010","Jackson","0710","Jackson",3840,4033,3060,0,0,0,0,0,0,7,7,0,24179
"G0100730","1890","Alabama","010","Jefferson","0730","Jefferson",32142,5053,2506,16,0,0,1,0,0,8,0,0,56334
"G0100750","1890","Alabama","010","Lamar","0750","Lamar",2748,2173,1563,0,0,0,0,0,0,0,2,0,11439
"G0100770","1890","Alabama","010","Lauderdale","0770","Lauderdale",7091,6860,5170,1,0,0,0,0,0,0,2,0,16647
"G0100790","1890","Alabama","010","Lawrence","0790","Lawrence",8171,8750,6562,0,0,0,0,0,0,1,0,0,12553
"G0100810","1890","Alabama","010","Lee","0810","Lee",16497,15041,11597,0,0,0,0,0,0,0,4,2,12197
"G0100830","1890","Alabama","010","Limestone","0830","Limestone",9002,9963,7253,0,0,0,0,0,0,1,0,0,12198
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes",26985,25528,20633,0,0,0,0,0,0,2,3,0,4563
"G0100870","1890","Alabama","010","Macon","0870","Macon",14188,12784,12620,0,0,0,0,0,0,0,0,4,4251
"G0100890","1890","Alabama","010","Madison","0890","Madison",18769,19034,15740,0,0,0,0,0,0,5,0,0,19345
"G0100910","1890","Alabama","010","Marengo","0910","Marengo",25149,23612,20058,0,0,0,0,0,0,0,1,3,7946
"G0100930","1890","Alabama","010","Marion","0930","Marion",578,520,224,0,0,0,0,0,0,0,3,0,10769
"G0100950","1890","Alabama","010","Marshall","0950","Marshall",1279,1496,1367,0,0,0,0,0,0,4,5,0,17652
"G0100970","1890","Alabama","010","Mobile","0970","Mobile",22804,21443,21107,12,4,0,0,0,0,402,19,9,28369
"G0100990","1890","Alabama","010","Monroe","0990","Monroe",10608,9234,7572,0,0,0,0,0,0,3,77,17,8379
"G0101010","1890","Alabama","010","Montgomery","1010","Montgomery",41485,38899,31285,4,0,0,0,0,0,1,0,0,14682
"G0101030","1890","Alabama","010","Morgan","1030","Morgan",6073,4670,3358,3,0,0,0,0,0,0,0,0,18013
"G0101050","1890","Alabama","010","Perry","1050","Perry",22516,23591,17833,0,0,0,0,0,0,4,0,0,6812
"G0101070","1890","Alabama","010","Pickens","1070","Pickens",13185,12347,9638,1,0,0,0,0,0,0,0,0,9284
"G0101090","1890","Alabama","010","Pike","1090","Pike",9070,6272,4625,0,0,0,0,0,0,4,0,0,15349
"G0101110","1890","Alabama","010","Randolph","1110","Randolph",3305,3420,1641,0,0,0,0,0,0,0,0,0,13914
"G0101130","1890","Alabama","010","Russell","1130","Russell",18279,18655,15690,0,0,0,0,0,0,0,0,0,5814
"G0101150","1890","Alabama","010","St Clair","1150","St Clair",3050,2834,2065,0,0,0,0,0,0,0,7,0,14303
"G0101170","1890","Alabama","010","Shelby","1170","Shelby",6596,4983,3378,0,0,0,0,0,0,1,0,0,14289
"G0101190","1890","Alabama","010","Sumter","1190","Sumter",23631,22277,18907,0,0,0,0,0,0,0,0,0,5943
"G0101210","1890","Alabama","010","Talladega","1210","Talladega",13944,12504,9595,3,0,0,0,0,0,0,0,0,15399
"G0101230","1890","Alabama","010","Tallapoosa","1230","Tallapoosa",8508,7293,4190,0,0,0,0,0,0,1,0,1,16951
"G0101250","1890","Alabama","010","Tuscaloosa","1250","Tuscaloosa",12091,9741,8294,0,0,0,0,0,0,0,0,0,18261
"G0101270","1890","Alabama","010","Walker","1270","Walker",1656,501,308,0,0,0,0,0,0,0,0,0,14422
"G0101290","1890","Alabama","010","Washington","1290","Washington",3249,1729,1787,0,0,0,0,0,0,0,2,0,4686
"G0101310","1890","Alabama","010","Wilcox","1310","Wilcox",24022,25117,21610,0,0,0,0,0,0,0,0,0,6794
"G0101330","1890","Alabama","010","Winston","1330","Winston",36,17,21,0,0,0,0,0,0,0,0,0,6516
"G0250055","1890","Alaska Territory","025","Northern District","0055","Northern District",97,,,5,,,,,,6439,9946,,
"G0250095","1890","Alaska Territory","025","Southern District","0095","Southern District",15,,,2283,,,,,,18915,23050,,
"G0450015","1890","Arizona Territory","045","Apache","0015","Apache",329,4,0,16,62,0,0,0,0,5,1819,0,3931
"G0450035","1890","Arizona Territory","045","Cochise","0035","Cochise",22,0,0,173,0,0,0,0,0,1,0,0,6742
"G0450075","1890","Arizona Territory","045","Gila","0075","Gila",276,0,0,40,0,0,0,0,0,0,0,0,1705
"G0450095","1890","Arizona Territory","045","Graham","0095","Graham",505,0,0,86,0,0,0,0,0,3,0,0,5076
"G0450135","1890","Arizona Territory","045","Maricopa","0135","Maricopa",77,9,0,234,164,0,0,0,0,1,486,0,10674
"G0450155","1890","Arizona Territory","045","Mohave","0155","Mohave",2,13,4,28,15,0,0,0,0,9,286,0,1405
"G0450195","1890","Arizona Territory","045","Pima","0195","Pima",57,76,12,299,1153,0,1,2,0,904,166,6,11412
"G0450215","1890","Arizona Territory","045","Pinal","0215","Pinal",16,22,0,64,64,0,0,0,0,138,28,0,4033
"G0450255","1890","Arizona Territory","045","Yavapai","0255","Yavapai",66,31,8,169,140,12,0,0,0,27,54,6,8423
"G0450275","1890","Arizona Territory","045","Yuma","0275","Yuma",7,0,2,61,32,8,0,0,0,424,654,19,2179
"G0500010","1890","Arkansas","050","Arkansas","0010","Arkansas",3532,3067,4212,0,0,74,0,0,0,1,0,0,7899
"G0500030","1890","Arkansas","050","Ashley","0030","Ashley",6868,5130,3764,0,0,0,0,0,0,0,0,0,6427
"G0500050","1890","Arkansas","050","Baxter","0050","Baxter",18,45,0,0,0,0,0,0,0,0,0,0,8509
"G0500070","1890","Arkansas","050","Benton","0070","Benton",92,128,182,0,0,0,0,0,0,2,33,9,27622
"G0500090","1890","Arkansas","050","Boone","0090","Boone",91,88,74,0,0,0,0,0,0,2,0,0,15723
"G0500110","1890","Arkansas","050","Bradley","0110","Bradley",2864,2210,2529,0,0,0,0,0,0,0,0,0,5108
"G0500130","1890","Arkansas","050","Calhoun","0130","Calhoun",2720,2088,1100,0,0,0,0,0,0,0,0,0,4547
"G0500150","1890","Arkansas","050","Carroll","0150","Carroll",82,60,37,0,0,0,0,0,0,1,5,0,17205
"G0500170","1890","Arkansas","050","Chicot","0170","Chicot",10023,8495,5393,4,59,5,0,0,0,0,0,0,1392
"G0500190","1890","Arkansas","050","Clark","0190","Clark",6785,5203,3492,0,0,0,0,0,0,11,1,0,14201
"G0500210","1890","Arkansas","050","Clay","0210","Clay",43,22,0,0,0,0,0,0,0,1,0,0,12156
"G0500230","1890","Arkansas","050","Cleburne","0230","Cleburne",49,0,0,0,0,0,0,0,0,3,0,0,7832
"G0500250","1890","Arkansas","050","Cleveland","0250","Cleveland",3327,2329,0,0,0,0,0,0,0,1,0,0,8034
"G0500270","1890","Arkansas","050","Columbia","0270","Columbia",7312,5503,3718,0,0,0,0,0,0,1,0,0,12580
"G0500290","1890","Arkansas","050","Conway","0290","Conway",7671,3206,630,0,0,0,0,0,0,0,3,0,11788
"G0500310","1890","Arkansas","050","Craighead","0310","Craighead",519,261,253,0,0,0,0,0,0,0,0,0,11506
"G0500330","1890","Arkansas","050","Crawford","0330","Crawford",2296,1392,988,0,0,0,0,0,0,8,16,8,19410
"G0500350","1890","Arkansas","050","Crittenden","0350","Crittenden",11890,7516,2575,0,0,0,0,0,0,0,0,3,2050
"G0500370","1890","Arkansas","050","Cross","0370","Cross",2890,1789,1289,0,0,0,0,0,0,1,0,0,4802
"G0500390","1890","Arkansas","050","Dallas","0390","Dallas",3265,2206,1751,0,0,0,0,0,0,5,0,0,6026
"G0500410","1890","Arkansas","050","Desha","0410","Desha",8198,6514,3934,2,0,5,0,0,0,5,7,1,2119
"G0500430","1890","Arkansas","050","Drew","0430","Drew",9865,5759,3854,0,0,0,0,0,0,0,0,0,7487
"G0500450","1890","Arkansas","050","Faulkner","0450","Faulkner",3348,1418,0,0,0,0,0,0,0,0,0,0,14994
"G0500470","1890","Arkansas","050","Franklin","0470","Franklin",677,493,651,0,0,0,0,0,0,1,3,0,19256
"G0500490","1890","Arkansas","050","Fulton","0490","Fulton",85,36,85,0,0,0,0,0,0,1,0,0,10898
"G0500510","1890","Arkansas","050","Garland","0510","Garland",2774,1562,0,5,4,0,0,0,0,2,0,0,12547
"G0500530","1890","Arkansas","050","Grant","0530","Grant",1035,556,339,0,0,0,0,0,0,1,0,0,6750
"G0500550","1890","Arkansas","050","Greene","0550","Greene",161,75,156,0,0,0,0,0,0,0,0,0,12747
"G0500570","1890","Arkansas","050","Hempstead","0570","Hempstead",10968,9421,6329,0,0,0,0,0,0,9,1,0,11819
"G0500590","1890","Arkansas","050","Hot Spring","0590","Hot Spring",1249,745,650,0,0,0,0,0,0,0,0,1,10354
"G0500610","1890","Arkansas","050","Howard","0610","Howard",3054,2508,0,0,0,0,0,0,0,1,0,0,10734
"G0500630","1890","Arkansas","050","Independence","0630","Independence",1568,1382,908,1,0,0,0,0,0,11,1,0,20381
"G0500650","1890","Arkansas","050","Izard","0650","Izard",262,222,182,0,0,0,0,0,0,0,0,0,12776
"G0500670","1890","Arkansas","050","Jackson","0670","Jackson",4329,2763,1612,1,1,0,0,0,0,0,0,0,10849
"G0500690","1890","Arkansas","050","Jefferson","0690","Jefferson",29908,17011,10167,13,43,10,0,0,0,9,1,0,10951
"G0500710","1890","Arkansas","050","Johnson","0710","Johnson",631,491,613,0,0,0,0,0,0,2,1,0,16125
"G0500730","1890","Arkansas","050","Lafayette","0730","Lafayette",4543,3614,5158,0,0,0,0,0,0,0,0,0,3157
"G0500750","1890","Arkansas","050","Lawrence","0750","Lawrence",833,467,246,0,0,0,0,0,0,0,0,0,12151
"G0500770","1890","Arkansas","050","Lee","0770","Lee",14187,9150,0,1,0,0,0,0,0,7,0,0,4691
"G0500790","1890","Arkansas","050","Lincoln","0790","Lincoln",6469,5040,0,1,0,0,0,0,0,1,3,0,3784
"G0500810","1890","Arkansas","050","Little River","0810","Little River",4001,3335,1878,0,0,0,0,0,0,0,5,0,4902
