GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZM001,AZM002,AZM003,AZM004,AZ3001,AZ3002,AZ3003,AZ3004,AZ2001
"G0100010","1900","Alabama","010","Autauga","0010","Autauga",3293,3328,48,50,5494,5679,5494,5679,6742
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin",4135,3850,376,340,2043,2136,2043,2136,9015
"G0100050","1900","Alabama","010","Barbour","0050","Barbour",6200,6367,89,79,10619,11752,10619,11752,12781
"G0100070","1900","Alabama","010","Bibb","0070","Bibb",5686,5394,317,270,3282,2931,3282,2931,12285
"G0100090","1900","Alabama","010","Blount","0090","Blount",10663,10424,81,89,950,831,950,831,21338
"G0100110","1900","Alabama","010","Bullock","0110","Bullock",2813,2920,41,41,12749,13349,12748,13349,5846
"G0100130","1900","Alabama","010","Butler","0130","Butler",6162,6247,29,44,6591,6656,6590,6656,12514
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun",11694,11578,330,322,5258,5369,5257,5369,24247
"G0100170","1900","Alabama","010","Chambers","0170","Chambers",7481,7487,68,77,8567,8848,8567,8848,15139
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee",8994,8958,60,44,1611,1405,1611,1405,18080
"G0100210","1900","Alabama","010","Chilton","0210","Chilton",6571,6362,120,107,1692,1572,1692,1572,13258
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw",3908,3877,30,25,5145,5133,5144,5133,7858
"G0100250","1900","Alabama","010","Clarke","0250","Clarke",6017,5774,66,52,7870,7968,7865,7964,11952
"G0100270","1900","Alabama","010","Clay","0270","Clay",7610,7529,36,34,972,912,972,912,15215
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne",6039,5975,88,84,444,437,444,437,12325
"G0100310","1900","Alabama","010","Coffee","0310","Coffee",8491,8181,32,25,2323,1910,2323,1910,16739
"G0100330","1900","Alabama","010","Colbert","0330","Colbert",6088,6008,247,246,4676,4870,4676,4870,12795
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh",4796,4855,23,21,3835,3959,3834,3959,9720
"G0100370","1900","Alabama","010","Coosa","0370","Coosa",5461,5366,17,6,2639,2649,2639,2649,10856
"G0100390","1900","Alabama","010","Covington","0390","Covington",6533,6280,52,24,1438,996,1438,996,12912
"G0100410","1900","Alabama","010","Crenshaw","0410","Crenshaw",6997,7023,20,12,2773,2838,2768,2833,14057
"G0100430","1900","Alabama","010","Cullman","0430","Cullman",7918,7715,707,671,9,12,9,12,17828
"G0100450","1900","Alabama","010","Dale","0450","Dale",8089,8160,31,34,2464,2405,2464,2405,16320
"G0100470","1900","Alabama","010","Dallas","0470","Dallas",4092,4285,308,342,21672,23700,21672,23700,9285
"G0100490","1900","Alabama","010","DeKalb","0490","Dekalb",11217,11146,91,77,481,491,481,491,22586
"G0100510","1900","Alabama","010","Elmore","0510","Elmore",7054,6888,46,39,6119,5932,6119,5932,14048
"G0100530","1900","Alabama","010","Escambia","0530","Escambia",3770,3717,79,71,1868,1769,1813,1702,7683
"G0100550","1900","Alabama","010","Etowah","0550","Etowah",11527,11213,83,93,2192,2174,2192,2174,22995
"G0100570","1900","Alabama","010","Fayette","0570","Fayette",6259,6095,40,32,848,853,848,853,12431
"G0100590","1900","Alabama","010","Franklin","0590","Franklin",7245,6987,41,26,1223,935,1223,935,14353
"G0100610","1900","Alabama","010","Geneva","0610","Geneva",7990,7809,34,31,1866,1352,1866,1352,15878
"G0100630","1900","Alabama","010","Greene","0630","Greene",1549,1673,25,40,10070,10805,10070,10805,3307
"G0100650","1900","Alabama","010","Hale","0650","Hale",2808,2738,40,42,12546,12801,12546,12801,5664
"G0100670","1900","Alabama","010","Henry","0670","Henry",11286,11097,69,58,6923,6681,6923,6681,22543
"G0100710","1900","Alabama","010","Jackson","0710","Jackson",13563,13132,69,69,1810,1838,1806,1836,26860
"G0100730","1900","Alabama","010","Jefferson","0730","Jefferson",37022,33382,4131,3792,30705,26226,30691,26226,83489
"G0100750","1900","Alabama","010","Lamar","0750","Lamar",6458,6496,24,27,1536,1533,1536,1533,13015
"G0100770","1900","Alabama","010","Lauderdale","0770","Lauderdale",9181,9183,295,289,3668,3722,3668,3722,19169
"G0100790","1900","Alabama","010","Lawrence","0790","Lawrence",6383,6470,50,45,3489,3668,3488,3668,12967
"G0100810","1900","Alabama","010","Lee","0810","Lee",6004,6572,71,66,9055,10012,9055,10012,12759
"G0100830","1900","Alabama","010","Limestone","0830","Limestone",6237,6043,121,83,4872,4957,4871,4957,12558
"G0100850","1900","Alabama","010","Lowndes","0850","Lowndes",2363,2308,33,37,15192,15697,15192,15697,4762
"G0100870","1900","Alabama","010","Macon","0870","Macon",2089,2111,23,18,9244,9630,9244,9630,4252
"G0100890","1900","Alabama","010","Madison","0890","Madison",11684,11257,344,318,9556,10319,9556,10319,23827
"G0100910","1900","Alabama","010","Marengo","0910","Marengo",4270,4227,145,128,14367,15107,14366,15107,8841
"G0100930","1900","Alabama","010","Marion","0930","Marion",6895,6769,17,18,393,385,393,385,13716
"G0100950","1900","Alabama","010","Marshall","0950","Marshall",11088,10605,48,36,731,769,731,769,21789
"G0100970","1900","Alabama","010","Mobile","0970","Mobile",11942,12181,3479,3959,13385,15049,13361,15048,34306
"G0100990","1900","Alabama","010","Monroe","0990","Monroe",5336,5116,33,31,6481,6656,6470,6646,10529
"G0101010","1900","Alabama","010","Montgomery","1010","Montgomery",8625,8728,882,911,24702,27520,24687,27520,19825
"G0101030","1900","Alabama","010","Morgan","1030","Morgan",10287,10046,411,357,3587,3794,3584,3794,21439
"G0101050","1900","Alabama","010","Perry","1050","Perry",3305,3381,50,46,12098,12864,12098,12864,6821
"G0101070","1900","Alabama","010","Pickens","1070","Pickens",5239,5186,28,19,6783,7138,6783,7138,10481
"G0101090","1900","Alabama","010","Pike","1090","Pike",8266,8288,50,59,6327,6148,6326,6148,16697
"G0101110","1900","Alabama","010","Randolph","1110","Randolph",8194,8218,26,23,2573,2605,2573,2605,16469
"G0101130","1900","Alabama","010","Russell","1130","Russell",2841,2989,34,37,10267,10886,10266,10886,5930
"G0101150","1900","Alabama","010","St Clair","1150","St Clair",7993,7844,54,36,1800,1642,1800,1642,15983
"G0101170","1900","Alabama","010","Shelby","1170","Shelby",8294,8100,109,93,3683,3321,3683,3321,16680
"G0101190","1900","Alabama","010","Sumter","1190","Sumter",2740,2804,44,38,13068,13970,13068,13970,5672
"G0101210","1900","Alabama","010","Talladega","1210","Talladega",8684,8522,121,126,9195,9031,9192,9031,17547
"G0101230","1900","Alabama","010","Tallapoosa","1230","Tallapoosa",9485,9401,38,39,5318,5370,5318,5370,18987
"G0101250","1900","Alabama","010","Tuscaloosa","1250","Tuscaloosa",10704,10220,220,181,7409,7229,7409,7229,21509
"G0101270","1900","Alabama","010","Walker","1270","Walker",10225,9828,349,269,2376,1740,2376,1740,21046
"G0101290","1900","Alabama","010","Washington","1290","Washington",3060,2826,79,89,2638,2390,2638,2390,6106
"G0101310","1900","Alabama","010","Wilcox","1310","Wilcox",3446,3374,62,56,13823,14829,13823,14829,6979
"G0101330","1900","Alabama","010","Winston","1330","Winston",4825,4581,61,48,3,4,3,4,9547
"G0250055","1900","Alaska Territory","025","Northern District","0055","Northern District",12624,541,1502,102,6571,6315,16,8,17683
"G0250095","1900","Alaska Territory","025","Southern District","0095","Southern District",3182,1147,1863,748,12008,8205,135,9,12810
"G0450015","1900","Arizona Territory","045","Apache","0015","Apache",1183,987,228,198,2831,2711,1,1,2755
"G0450035","1900","Arizona Territory","045","Cochise","0035","Cochise",2409,1323,1410,1080,359,39,238,37,8853
"G0450055","1900","Arizona Territory","045","Coconino","0055","Coconino",1684,882,565,303,861,584,32,21,4069
"G0450075","1900","Arizona Territory","045","Gila","0075","Gila",1546,940,518,329,402,429,28,20,4142
"G0450095","1900","Arizona Territory","045","Graham","0095","Graham",3716,2905,1907,1545,211,34,38,30,13917
"G0450135","1900","Arizona Territory","045","Maricopa","0135","Maricopa",5478,4704,2193,1968,1874,1568,116,94,17015
"G0450155","1900","Arizona Territory","045","Mohave","0155","Mohave",740,392,335,175,863,668,101,76,1895
"G0450175","1900","Arizona Territory","045","Navajo","0175","Navajo",1318,1019,400,366,2969,2513,270,56,3347
"G0450195","1900","Arizona Territory","045","Pima","0195","Pima",1782,1226,2388,2290,1596,1347,77,41,11746
"G0450215","1900","Arizona Territory","045","Pinal","0215","Pinal",822,501,882,733,1960,1512,362,55,4307
"G0450235","1900","Arizona Territory","045","Santa Cruz","0235","Santa Cruz",506,369,768,726,56,2,9,1,4487
"G0450255","1900","Arizona Territory","045","Yavapai","0255","Yavapai",4528,2422,2158,1078,653,197,72,51,12949
"G0450275","1900","Arizona Territory","045","Yuma","0275","Yuma",903,518,655,471,455,308,19,2,3382
