GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A30001,A30002,A30003,A30004,A5A001
"G0100010","1910","Alabama","010","Autauga","0010","Autauga",4198,4122,5690,6027,8320
"G0100030","1910","Alabama","010","Baldwin","0030","Baldwin",6961,6103,2596,2514,13064
"G0100050","1910","Alabama","010","Barbour","0050","Barbour",6162,6110,9724,10732,12272
"G0100070","1910","Alabama","010","Bibb","0070","Bibb",7892,7189,4211,3499,15081
"G0100090","1910","Alabama","010","Blount","0090","Blount",10326,9949,628,553,20275
"G0100110","1910","Alabama","010","Bullock","0110","Bullock",2395,2438,12322,13040,4833
"G0100130","1910","Alabama","010","Butler","0130","Butler",6737,6917,7560,7813,13654
"G0100150","1910","Alabama","010","Calhoun","0150","Calhoun",14132,14225,5256,5501,28357
"G0100170","1910","Alabama","010","Chambers","0170","Chambers",8655,8741,9180,9480,17396
"G0100190","1910","Alabama","010","Cherokee","0190","Cherokee",8967,8650,1316,1290,17617
"G0100210","1910","Alabama","010","Chilton","0210","Chilton",9407,9021,2452,2307,18428
"G0100230","1910","Alabama","010","Choctaw","0230","Choctaw",3508,3472,5681,5822,6980
"G0100250","1910","Alabama","010","Clarke","0250","Clarke",7047,6618,8631,8680,13665
"G0100270","1910","Alabama","010","Clay","0270","Clay",9248,9110,1337,1311,18358
"G0100290","1910","Alabama","010","Cleburne","0290","Cleburne",6369,6305,349,362,12674
"G0100310","1910","Alabama","010","Coffee","0310","Coffee",10325,10011,3019,2763,20336
"G0100330","1910","Alabama","010","Colbert","0330","Colbert",7884,7468,4646,4803,15352
"G0100350","1910","Alabama","010","Conecuh","0350","Conecuh",5821,5532,5000,5079,11353
"G0100370","1910","Alabama","010","Coosa","0370","Coosa",5228,5150,3120,3136,10378
"G0100390","1910","Alabama","010","Covington","0390","Covington",12422,11581,4378,3623,24003
"G0100410","1910","Alabama","010","Crenshaw","0410","Crenshaw",7962,7836,3743,3771,15798
"G0100430","1910","Alabama","010","Cullman","0430","Cullman",14163,13625,295,238,27788
"G0100450","1910","Alabama","010","Dale","0450","Dale",7917,7880,2903,2907,15797
"G0100470","1910","Alabama","010","Dallas","0470","Dallas",4996,4894,20701,22810,9890
"G0100490","1910","Alabama","010","DeKalb","0490","Dekalb",13857,13550,421,433,27407
"G0100510","1910","Alabama","010","Elmore","0510","Elmore",7618,7381,6684,6562,14999
"G0100530","1910","Alabama","010","Escambia","0530","Escambia",6742,6414,2842,2727,13156
"G0100550","1910","Alabama","010","Etowah","0550","Etowah",16519,15786,3652,3152,32305
"G0100570","1910","Alabama","010","Fayette","0570","Fayette",7286,7096,959,907,14382
"G0100590","1910","Alabama","010","Franklin","0590","Franklin",8959,8568,929,913,17527
"G0100610","1910","Alabama","010","Geneva","0610","Geneva",11170,10754,2245,2060,21924
"G0100630","1910","Alabama","010","Greene","0630","Greene",1496,1516,9391,10314,3012
"G0100650","1910","Alabama","010","Hale","0650","Hale",3035,2860,10692,11295,5895
"G0100670","1910","Alabama","010","Henry","0670","Henry",5483,5310,5008,5142,10793
"G0100690","1910","Alabama","010","Houston","0690","Houston",11571,11245,4903,4694,22816
"G0100710","1910","Alabama","010","Jackson","0710","Jackson",15109,14557,1519,1617,29666
"G0100730","1910","Alabama","010","Jefferson","0730","Jefferson",71012,64827,46761,43856,135839
"G0100750","1910","Alabama","010","Lamar","0750","Lamar",7236,7071,1578,1602,14307
"G0100770","1910","Alabama","010","Lauderdale","0770","Lauderdale",12001,11839,3445,3651,23840
"G0100790","1910","Alabama","010","Lawrence","0790","Lawrence",7635,7411,3382,3551,15046
"G0100810","1910","Alabama","010","Lee","0810","Lee",6424,6800,9404,10239,13224
"G0100830","1910","Alabama","010","Limestone","0830","Limestone",8560,8065,5050,5205,16625
"G0100850","1910","Alabama","010","Lowndes","0850","Lowndes",1870,1899,13704,14421,3769
"G0100870","1910","Alabama","010","Macon","0870","Macon",2013,1994,10581,11458,4007
"G0100890","1910","Alabama","010","Madison","0890","Madison",14138,14008,9143,9751,28146
"G0100910","1910","Alabama","010","Marengo","0910","Marengo",4590,4480,14996,15850,9070
"G0100930","1910","Alabama","010","Marion","0930","Marion",8608,8367,263,257,16975
"G0100950","1910","Alabama","010","Marshall","0950","Marshall",13764,13424,660,705,27188
"G0100970","1910","Alabama","010","Mobile","0970","Mobile",22920,23191,16367,18352,46111
"G0100990","1910","Alabama","010","Monroe","0990","Monroe",5724,5413,7764,7963,11137
"G0101010","1910","Alabama","010","Montgomery","1010","Montgomery",12776,12523,26812,30055,25299
"G0101030","1910","Alabama","010","Morgan","1030","Morgan",13195,12386,4022,4176,25581
"G0101050","1910","Alabama","010","Perry","1050","Perry",3378,3349,11912,12582,6727
"G0101070","1910","Alabama","010","Pickens","1070","Pickens",6149,5955,6328,6623,12104
"G0101090","1910","Alabama","010","Pike","1090","Pike",8242,8135,7116,7321,16377
"G0101110","1910","Alabama","010","Randolph","1110","Randolph",9532,9410,2877,2840,18942
"G0101130","1910","Alabama","010","Russell","1130","Russell",2827,2906,9741,10457,5733
"G0101150","1910","Alabama","010","St Clair","1150","St Clair",8806,8277,1893,1739,17083
"G0101170","1910","Alabama","010","Shelby","1170","Shelby",9932,9376,3979,3662,19308
"G0101190","1910","Alabama","010","Sumter","1190","Sumter",2731,2646,11177,12145,5377
"G0101210","1910","Alabama","010","Talladega","1210","Talladega",9938,9716,9016,9249,19654
"G0101230","1910","Alabama","010","Tallapoosa","1230","Tallapoosa",9799,9778,5686,5771,19577
"G0101250","1910","Alabama","010","Tuscaloosa","1250","Tuscaloosa",14714,13819,9693,9333,28533
"G0101270","1910","Alabama","010","Walker","1270","Walker",15759,14716,3657,2881,30475
"G0101290","1910","Alabama","010","Washington","1290","Washington",4263,3955,3138,2926,8218
"G0101310","1910","Alabama","010","Wilcox","1310","Wilcox",3210,2998,13629,13973,6208
"G0101330","1910","Alabama","010","Winston","1330","Winston",6578,6223,37,17,12801
"G0450015","1910","Arizona Territory","045","Apache","0015","Apache",1653,1403,6,2,3056
"G0450035","1910","Arizona Territory","045","Cochise","0035","Cochise",19902,14085,230,248,33987
"G0450055","1910","Arizona Territory","045","Coconino","0055","Coconino",3560,1691,21,14,5251
"G0450075","1910","Arizona Territory","045","Gila","0075","Gila",8602,4865,117,109,13467
"G0450095","1910","Arizona Territory","045","Graham","0095","Graham",13353,9938,59,53,23291
"G0450135","1910","Arizona Territory","045","Maricopa","0135","Maricopa",17050,13546,228,241,30596
