GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A86001
"G0100010","1920","Alabama","010","Autauga","0010","Autauga",8212
"G0100030","1920","Alabama","010","Baldwin","0030","Baldwin",15937
"G0100050","1920","Alabama","010","Barbour","0050","Barbour",12646
"G0100070","1920","Alabama","010","Bibb","0070","Bibb",15327
"G0100090","1920","Alabama","010","Blount","0090","Blount",24120
"G0100110","1920","Alabama","010","Bullock","0110","Bullock",4682
"G0100130","1920","Alabama","010","Butler","0130","Butler",14949
"G0100150","1920","Alabama","010","Calhoun","0150","Calhoun",35732
"G0100170","1920","Alabama","010","Chambers","0170","Chambers",21477
"G0100190","1920","Alabama","010","Cherokee","0190","Cherokee",18783
"G0100210","1920","Alabama","010","Chilton","0210","Chilton",18807
"G0100230","1920","Alabama","010","Choctaw","0230","Choctaw",9301
"G0100250","1920","Alabama","010","Clarke","0250","Clarke",12502
"G0100270","1920","Alabama","010","Clay","0270","Clay",19466
"G0100290","1920","Alabama","010","Cleburne","0290","Cleburne",12625
"G0100310","1920","Alabama","010","Coffee","0310","Coffee",23775
"G0100330","1920","Alabama","010","Colbert","0330","Colbert",20845
"G0100350","1920","Alabama","010","Conecuh","0350","Conecuh",13490
"G0100370","1920","Alabama","010","Coosa","0370","Coosa",9033
"G0100390","1920","Alabama","010","Covington","0390","Covington",30116
"G0100410","1920","Alabama","010","Crenshaw","0410","Crenshaw",15901
"G0100430","1920","Alabama","010","Cullman","0430","Cullman",32591
"G0100450","1920","Alabama","010","Dale","0450","Dale",17680
"G0100470","1920","Alabama","010","Dallas","0470","Dallas",12432
"G0100490","1920","Alabama","010","DeKalb","0490","Dekalb",33655
"G0100510","1920","Alabama","010","Elmore","0510","Elmore",16141
"G0100530","1920","Alabama","010","Escambia","0530","Escambia",15878
"G0100550","1920","Alabama","010","Etowah","0550","Etowah",39744
"G0100570","1920","Alabama","010","Fayette","0570","Fayette",15884
"G0100590","1920","Alabama","010","Franklin","0590","Franklin",20593
"G0100610","1920","Alabama","010","Geneva","0610","Geneva",24910
"G0100630","1920","Alabama","010","Greene","0630","Greene",3090
"G0100650","1920","Alabama","010","Hale","0650","Hale",6392
"G0100670","1920","Alabama","010","Henry","0670","Henry",11094
"G0100690","1920","Alabama","010","Houston","0690","Houston",26912
"G0100710","1920","Alabama","010","Jackson","0710","Jackson",32841
"G0100730","1920","Alabama","010","Jefferson","0730","Jefferson",179730
"G0100750","1920","Alabama","010","Lamar","0750","Lamar",15299
"G0100770","1920","Alabama","010","Lauderdale","0770","Lauderdale",31439
"G0100790","1920","Alabama","010","Lawrence","0790","Lawrence",17568
"G0100810","1920","Alabama","010","Lee","0810","Lee",14037
"G0100830","1920","Alabama","010","Limestone","0830","Limestone",21713
"G0100850","1920","Alabama","010","Lowndes","0850","Lowndes",3390
"G0100870","1920","Alabama","010","Macon","0870","Macon",3947
"G0100890","1920","Alabama","010","Madison","0890","Madison",33785
"G0100910","1920","Alabama","010","Marengo","0910","Marengo",9953
"G0100930","1920","Alabama","010","Marion","0930","Marion",21387
"G0100950","1920","Alabama","010","Marshall","0950","Marshall",31382
"G0100970","1920","Alabama","010","Mobile","0970","Mobile",60412
"G0100990","1920","Alabama","010","Monroe","0990","Monroe",12888
"G0101010","1920","Alabama","010","Montgomery","1010","Montgomery",32382
"G0101030","1920","Alabama","010","Morgan","1030","Morgan",32460
"G0101050","1920","Alabama","010","Perry","1050","Perry",7114
"G0101070","1920","Alabama","010","Pickens","1070","Pickens",13029
"G0101090","1920","Alabama","010","Pike","1090","Pike",16835
"G0101110","1920","Alabama","010","Randolph","1110","Randolph",21127
"G0101130","1920","Alabama","010","Russell","1130","Russell",6512
"G0101150","1920","Alabama","010","St Clair","1150","St Clair",18934
"G0101170","1920","Alabama","010","Shelby","1170","Shelby",20052
"G0101190","1920","Alabama","010","Sumter","1190","Sumter",5738
"G0101210","1920","Alabama","010","Talladega","1210","Talladega",23605
"G0101230","1920","Alabama","010","Tallapoosa","1230","Tallapoosa",19674
"G0101250","1920","Alabama","010","Tuscaloosa","1250","Tuscaloosa",33896
"G0101270","1920","Alabama","010","Walker","1270","Walker",42403
"G0101290","1920","Alabama","010","Washington","1290","Washington",8413
