GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BFQ001
"G0100010","1930","Alabama","010","Autauga","0010","Autauga",8787
"G0100030","1930","Alabama","010","Baldwin","0030","Baldwin",21484
"G0100050","1930","Alabama","010","Barbour","0050","Barbour",13766
"G0100070","1930","Alabama","010","Bibb","0070","Bibb",13904
"G0100090","1930","Alabama","010","Blount","0090","Blount",26951
"G0100110","1930","Alabama","010","Bullock","0110","Bullock",4262
"G0100130","1930","Alabama","010","Butler","0130","Butler",15513
"G0100150","1930","Alabama","010","Calhoun","0150","Calhoun",43071
"G0100170","1930","Alabama","010","Chambers","0170","Chambers",21385
"G0100190","1930","Alabama","010","Cherokee","0190","Cherokee",18388
"G0100210","1930","Alabama","010","Chilton","0210","Chilton",20611
"G0100230","1930","Alabama","010","Choctaw","0230","Choctaw",9276
"G0100250","1930","Alabama","010","Clarke","0250","Clarke",12390
"G0100270","1930","Alabama","010","Clay","0270","Clay",15041
"G0100290","1930","Alabama","010","Cleburne","0290","Cleburne",12109
"G0100310","1930","Alabama","010","Coffee","0310","Coffee",25662
"G0100330","1930","Alabama","010","Colbert","0330","Colbert",21377
"G0100350","1930","Alabama","010","Conecuh","0350","Conecuh",14334
"G0100370","1930","Alabama","010","Coosa","0370","Coosa",7820
"G0100390","1930","Alabama","010","Covington","0390","Covington",34278
"G0100410","1930","Alabama","010","Crenshaw","0410","Crenshaw",16355
"G0100430","1930","Alabama","010","Cullman","0430","Cullman",40610
"G0100450","1930","Alabama","010","Dale","0450","Dale",17765
"G0100470","1930","Alabama","010","Dallas","0470","Dallas",14227
"G0100490","1930","Alabama","010","DeKalb","0490","Dekalb",39253
"G0100510","1930","Alabama","010","Elmore","0510","Elmore",20097
"G0100530","1930","Alabama","010","Escambia","0530","Escambia",19056
"G0100550","1930","Alabama","010","Etowah","0550","Etowah",53454
"G0100570","1930","Alabama","010","Fayette","0570","Fayette",15813
"G0100590","1930","Alabama","010","Franklin","0590","Franklin",23953
"G0100610","1930","Alabama","010","Geneva","0610","Geneva",26206
"G0100630","1930","Alabama","010","Greene","0630","Greene",3482
"G0100650","1930","Alabama","010","Hale","0650","Hale",6853
"G0100670","1930","Alabama","010","Henry","0670","Henry",12031
"G0100690","1930","Alabama","010","Houston","0690","Houston",32406
"G0100710","1930","Alabama","010","Jackson","0710","Jackson",34192
"G0100730","1930","Alabama","010","Jefferson","0730","Jefferson",263475
"G0100750","1930","Alabama","010","Lamar","0750","Lamar",15150
"G0100770","1930","Alabama","010","Lauderdale","0770","Lauderdale",33348
"G0100790","1930","Alabama","010","Lawrence","0790","Lawrence",19889
"G0100810","1930","Alabama","010","Lee","0810","Lee",17434
"G0100830","1930","Alabama","010","Limestone","0830","Limestone",26642
"G0100850","1930","Alabama","010","Lowndes","0850","Lowndes",3246
"G0100870","1930","Alabama","010","Macon","0870","Macon",4783
"G0100890","1930","Alabama","010","Madison","0890","Madison",45350
"G0100910","1930","Alabama","010","Marengo","0910","Marengo",10076
"G0100930","1930","Alabama","010","Marion","0930","Marion",25106
"G0100950","1930","Alabama","010","Marshall","0950","Marshall",38521
"G0100970","1930","Alabama","010","Mobile","0970","Mobile",75956
"G0100990","1930","Alabama","010","Monroe","0990","Monroe",14250
"G0101010","1930","Alabama","010","Montgomery","1010","Montgomery",46522
"G0101030","1930","Alabama","010","Morgan","1030","Morgan",37865
"G0101050","1930","Alabama","010","Perry","1050","Perry",7229
"G0101070","1930","Alabama","010","Pickens","1070","Pickens",12970
"G0101090","1930","Alabama","010","Pike","1090","Pike",17701
