GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BYA001,BYA002,BYA003,BYA004,BWS001
"G0100010","1940","Alabama","010","Autauga","0010","Autauga",9775,8,11194,0,9783
"G0100030","1940","Alabama","010","Baldwin","0030","Baldwin",22914,1326,8071,13,24240
"G0100050","1940","Alabama","010","Barbour","0050","Barbour",14548,15,18159,0,14563
"G0100070","1940","Alabama","010","Bibb","0070","Bibb",13445,74,6630,6,13519
"G0100090","1940","Alabama","010","Blount","0090","Blount",28217,10,1263,0,28227
"G0100110","1940","Alabama","010","Bullock","0110","Bullock",4344,7,15459,0,4351
"G0100130","1940","Alabama","010","Butler","0130","Butler",16744,15,15688,0,16759
"G0100150","1940","Alabama","010","Calhoun","0150","Calhoun",50175,153,12989,2,50328
"G0100170","1940","Alabama","010","Chambers","0170","Chambers",24202,8,17894,42,24210
"G0100190","1940","Alabama","010","Cherokee","0190","Cherokee",18201,2,1725,0,18203
"G0100210","1940","Alabama","010","Chilton","0210","Chilton",23272,48,4634,1,23320
"G0100230","1940","Alabama","010","Choctaw","0230","Choctaw",9462,6,10727,0,9468
"G0100250","1940","Alabama","010","Clarke","0250","Clarke",13204,11,14417,4,13215
"G0100270","1940","Alabama","010","Clay","0270","Clay",14287,2,2618,0,14289
"G0100290","1940","Alabama","010","Cleburne","0290","Cleburne",12616,21,992,0,12637
"G0100310","1940","Alabama","010","Coffee","0310","Coffee",25415,13,6559,0,25428
"G0100330","1940","Alabama","010","Colbert","0330","Colbert",25415,98,8580,0,25513
"G0100350","1940","Alabama","010","Conecuh","0350","Conecuh",14131,8,11350,0,14139
"G0100370","1940","Alabama","010","Coosa","0370","Coosa",8561,2,4897,0,8563
"G0100390","1940","Alabama","010","Covington","0390","Covington",35479,26,6912,0,35505
"G0100410","1940","Alabama","010","Crenshaw","0410","Crenshaw",15850,3,7778,0,15853
"G0100430","1940","Alabama","010","Cullman","0430","Cullman",46517,244,581,1,46761
"G0100450","1940","Alabama","010","Dale","0450","Dale",17440,6,5239,0,17446
"G0100470","1940","Alabama","010","Dallas","0470","Dallas",14387,113,40744,1,14500
"G0100490","1940","Alabama","010","DeKalb","0490","Dekalb",42248,18,808,1,42266
"G0100510","1940","Alabama","010","Elmore","0510","Elmore",20916,12,13616,2,20928
"G0100530","1940","Alabama","010","Escambia","0530","Escambia",20456,38,9865,312,20494
"G0100550","1940","Alabama","010","Etowah","0550","Etowah",61820,196,10563,1,62016
"G0100570","1940","Alabama","010","Fayette","0570","Fayette",18579,6,3066,0,18585
"G0100590","1940","Alabama","010","Franklin","0590","Franklin",26071,16,1465,0,26087
"G0100610","1940","Alabama","010","Geneva","0610","Geneva",25142,5,4025,0,25147
"G0100630","1940","Alabama","010","Greene","0630","Greene",3085,18,16082,0,3103
"G0100650","1940","Alabama","010","Hale","0650","Hale",7167,10,18356,0,7177
"G0100670","1940","Alabama","010","Henry","0670","Henry",11203,1,10708,0,11204
"G0100690","1940","Alabama","010","Houston","0690","Houston",31013,56,14596,0,31069
"G0100710","1940","Alabama","010","Jackson","0710","Jackson",39172,12,2618,0,39184
"G0100730","1940","Alabama","010","Jefferson","0730","Jefferson",275180,5576,179150,24,280756
"G0100750","1940","Alabama","010","Lamar","0750","Lamar",16729,2,2977,0,16731
"G0100770","1940","Alabama","010","Lauderdale","0770","Lauderdale",38656,108,7466,0,38764
"G0100790","1940","Alabama","010","Lawrence","0790","Lawrence",21594,6,6280,0,21600
"G0100810","1940","Alabama","010","Lee","0810","Lee",15797,43,20615,0,15840
"G0100830","1940","Alabama","010","Limestone","0830","Limestone",26776,34,8832,0,26810
"G0100850","1940","Alabama","010","Lowndes","0850","Lowndes",3450,7,19204,0,3457
"G0100870","1940","Alabama","010","Macon","0870","Macon",4928,18,22708,0,4946
"G0100890","1940","Alabama","010","Madison","0890","Madison",47836,91,18385,5,47927
"G0100910","1940","Alabama","010","Marengo","0910","Marengo",9695,32,26009,0,9727
"G0100930","1940","Alabama","010","Marion","0930","Marion",27767,8,996,5,27775
"G0100950","1940","Alabama","010","Marshall","0950","Marshall",41214,11,1170,0,41225
"G0100970","1940","Alabama","010","Mobile","0970","Mobile",88380,1916,51583,95,90296
"G0100990","1940","Alabama","010","Monroe","0990","Monroe",13831,17,15593,24,13848
"G0101010","1940","Alabama","010","Montgomery","1010","Montgomery",56427,655,57334,4,57082
"G0101030","1940","Alabama","010","Morgan","1030","Morgan",39902,96,8149,1,39998
"G0101050","1940","Alabama","010","Perry","1050","Perry",7499,16,19095,0,7515
"G0101070","1940","Alabama","010","Pickens","1070","Pickens",14551,14,13105,1,14565
"G0101090","1940","Alabama","010","Pike","1090","Pike",17281,26,15177,9,17307
"G0101110","1940","Alabama","010","Randolph","1110","Randolph",19649,3,5864,0,19652
"G0101130","1940","Alabama","010","Russell","1130","Russell",14638,36,21101,0,14674
"G0101150","1940","Alabama","010","St Clair","1150","St Clair",21579,49,5696,12,21628
"G0101170","1940","Alabama","010","Shelby","1170","Shelby",22063,49,6848,2,22112
"G0101190","1940","Alabama","010","Sumter","1190","Sumter",5610,11,21700,0,5621
"G0101210","1940","Alabama","010","Talladega","1210","Talladega",33586,57,18188,1,33643
"G0101230","1940","Alabama","010","Tallapoosa","1230","Tallapoosa",23991,32,11247,0,24023
"G0101250","1940","Alabama","010","Tuscaloosa","1250","Tuscaloosa",51611,223,24200,2,51834
"G0101270","1940","Alabama","010","Walker","1270","Walker",57139,159,6902,1,57298
"G0101290","1940","Alabama","010","Washington","1290","Washington",9988,35,6165,0,10023
"G0101310","1940","Alabama","010","Wilcox","1310","Wilcox",5698,8,20571,2,5706
"G0101330","1940","Alabama","010","Winston","1330","Winston",18622,12,112,0,18634
"G0250015","1940","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",14113,3955,,,18068
"G0250035","1940","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",5751,1922,,,7673
"G0250075","1940","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",1200,446,,,1646
"G0250115","1940","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",9320,2463,,,11783
"G0400010","1940","Arizona","040","Apache","0010","Apache",7348,157,698,15892,7505
"G0400030","1940","Arizona","040","Cochise","0030","Cochise",27762,4606,1991,268,32368
"G0400050","1940","Arizona","040","Coconino","0050","Coconino",11052,1048,234,6436,12100
"G0400070","1940","Arizona","040","Gila","0070","Gila",18909,2122,185,2651,21031
"G0400090","1940","Arizona","040","Graham","0090","Graham",10665,397,93,958,11062
"G0400110","1940","Arizona","040","Greenlee","0110","Greenlee",7854,820,9,15,8674
"G0400130","1940","Arizona","040","Maricopa","0130","Maricopa",161704,11957,7808,4724,173661
"G0400150","1940","Arizona","040","Mohave","0150","Mohave",7523,478,17,573,8001
"G0400170","1940","Arizona","040","Navajo","0170","Navajo",12371,446,127,12365,12817
"G0400190","1940","Arizona","040","Pima","0190","Pima",56394,6807,2083,7554,63201
"G0400210","1940","Arizona","040","Pinal","0210","Pinal",21704,2381,511,4245,24085
"G0400230","1940","Arizona","040","Santa Cruz","0230","Santa Cruz",7207,1944,215,116,9151
"G0400250","1940","Arizona","040","Yavapai","0250","Yavapai",23485,2483,150,393,25968
"G0400270","1940","Arizona","040","Yuma","0270","Yuma",15977,1191,872,1286,17168
"G0500010","1940","Arkansas","050","Arkansas","0010","Arkansas",18739,143,5549,6,18882
"G0500030","1940","Arkansas","050","Ashley","0030","Ashley",14445,36,12290,14,14481
"G0500050","1940","Arkansas","050","Baxter","0050","Baxter",10224,57,0,0,10281
"G0500070","1940","Arkansas","050","Benton","0070","Benton",35860,201,46,41,36061
"G0500090","1940","Arkansas","050","Boone","0090","Boone",15822,38,0,0,15860
"G0500110","1940","Arkansas","050","Bradley","0110","Bradley",11838,11,6239,9,11849
"G0500130","1940","Arkansas","050","Calhoun","0130","Calhoun",6612,2,3022,0,6614
"G0500150","1940","Arkansas","050","Carroll","0150","Carroll",14676,52,8,1,14728
"G0500170","1940","Arkansas","050","Chicot","0170","Chicot",11234,184,15979,55,11418
"G0500190","1940","Arkansas","050","Clark","0190","Clark",17228,17,7157,0,17245
"G0500210","1940","Arkansas","050","Clay","0210","Clay",28356,28,2,0,28384
"G0500230","1940","Arkansas","050","Cleburne","0230","Cleburne",13124,9,0,1,13133
"G0500250","1940","Arkansas","050","Cleveland","0250","Cleveland",9176,9,3385,0,9185
"G0500270","1940","Arkansas","050","Columbia","0270","Columbia",16296,28,13498,0,16324
"G0500290","1940","Arkansas","050","Conway","0290","Conway",16144,103,5289,0,16247
"G0500310","1940","Arkansas","050","Craighead","0310","Craighead",45403,155,1636,6,45558
"G0500330","1940","Arkansas","050","Crawford","0330","Crawford",22961,51,902,6,23012
"G0500350","1940","Arkansas","050","Crittenden","0350","Crittenden",10526,102,31799,46,10628
"G0500370","1940","Arkansas","050","Cross","0370","Cross",15739,50,10255,2,15789
"G0500390","1940","Arkansas","050","Dallas","0390","Dallas",9131,9,5331,0,9140
"G0500410","1940","Arkansas","050","Desha","0410","Desha",10880,75,16168,37,10955
"G0500430","1940","Arkansas","050","Drew","0430","Drew",11588,19,8224,0,11607
"G0500450","1940","Arkansas","050","Faulkner","0450","Faulkner",22320,94,3466,0,22414
"G0500470","1940","Arkansas","050","Franklin","0470","Franklin",15265,88,329,1,15353
"G0500490","1940","Arkansas","050","Fulton","0490","Fulton",10232,18,0,3,10250
"G0500510","1940","Arkansas","050","Garland","0510","Garland",36003,592,5067,2,36595
"G0500530","1940","Arkansas","050","Grant","0530","Grant",9539,20,918,0,9559
"G0500550","1940","Arkansas","050","Greene","0550","Greene",30077,71,56,0,30148
"G0500570","1940","Arkansas","050","Hempstead","0570","Hempstead",18711,26,14033,0,18737
"G0500590","1940","Arkansas","050","Hot Spring","0590","Hot Spring",16660,36,2219,1,16696
"G0500610","1940","Arkansas","050","Howard","0610","Howard",12638,12,3971,0,12650
"G0500630","1940","Arkansas","050","Independence","0630","Independence",24813,29,801,0,24842
"G0500650","1940","Arkansas","050","Izard","0650","Izard",12685,9,140,0,12694
"G0500670","1940","Arkansas","050","Jackson","0670","Jackson",22325,25,4077,0,22350
"G0500690","1940","Arkansas","050","Jefferson","0690","Jefferson",28696,383,35980,42,29079
"G0500710","1940","Arkansas","050","Johnson","0710","Johnson",18384,115,296,0,18499
"G0500730","1940","Arkansas","050","Lafayette","0730","Lafayette",8698,27,8126,0,8725
"G0500750","1940","Arkansas","050","Lawrence","0750","Lawrence",22271,40,340,0,22311
"G0500770","1940","Arkansas","050","Lee","0770","Lee",9770,30,16965,45,9800
"G0500790","1940","Arkansas","050","Lincoln","0790","Lincoln",7860,7,11827,15,7867
"G0500810","1940","Arkansas","050","Little River","0810","Little River",10079,8,5828,17,10087
"G0500830","1940","Arkansas","050","Logan","0830","Logan",25150,193,624,0,25343
"G0500850","1940","Arkansas","050","Lonoke","0850","Lonoke",21076,55,8670,1,21131
"G0500870","1940","Arkansas","050","Madison","0870","Madison",14498,16,15,2,14514
"G0500890","1940","Arkansas","050","Marion","0890","Marion",9445,19,0,0,9464
"G0500910","1940","Arkansas","050","Miller","0910","Miller",22171,144,9555,4,22315
"G0500930","1940","Arkansas","050","Mississippi","0930","Mississippi",54952,165,25069,31,55117
"G0500950","1940","Arkansas","050","Monroe","0950","Monroe",10229,60,10833,11,10289
"G0500970","1940","Arkansas","050","Montgomery","0970","Montgomery",8779,6,90,1,8785
"G0500990","1940","Arkansas","050","Nevada","0990","Nevada",12504,18,7346,1,12522
"G0501010","1940","Arkansas","050","Newton","1010","Newton",10864,17,0,0,10881
"G0501030","1940","Arkansas","050","Ouachita","1030","Ouachita",16404,42,14697,8,16446
"G0501050","1940","Arkansas","050","Perry","1050","Perry",7928,55,409,0,7983
"G0501070","1940","Arkansas","050","Phillips","1070","Phillips",15041,215,30626,88,15256
"G0501090","1940","Arkansas","050","Pike","1090","Pike",11112,4,668,2,11116
"G0501110","1940","Arkansas","050","Poinsett","1110","Poinsett",32906,67,4697,0,32973
"G0501130","1940","Arkansas","050","Polk","1130","Polk",15763,63,2,4,15826
"G0501150","1940","Arkansas","050","Pope","1150","Pope",24550,110,1020,2,24660
"G0501170","1940","Arkansas","050","Prairie","1170","Prairie",12155,171,2977,1,12326
"G0501190","1940","Arkansas","050","Pulaski","1190","Pulaski",111345,1532,43182,26,112877
"G0501210","1940","Arkansas","050","Randolph","1210","Randolph",18033,84,202,0,18117
"G0501230","1940","Arkansas","050","St Francis","1230","St Francis",12800,82,23131,30,12882
"G0501250","1940","Arkansas","050","Saline","1250","Saline",18118,121,924,0,18239
"G0501270","1940","Arkansas","050","Scott","1270","Scott",12818,28,454,0,12846
"G0501290","1940","Arkansas","050","Searcy","1290","Searcy",11922,12,0,8,11934
"G0501310","1940","Arkansas","050","Sebastian","1310","Sebastian",57324,767,4647,71,58091
"G0501330","1940","Arkansas","050","Sevier","1330","Sevier",13607,34,1607,0,13641
"G0501350","1940","Arkansas","050","Sharp","1350","Sharp",11461,27,8,1,11488
"G0501370","1940","Arkansas","050","Stone","1370","Stone",8575,16,12,0,8591
"G0501390","1940","Arkansas","050","Union","1390","Union",32487,138,17821,15,32625
"G0501410","1940","Arkansas","050","Van Buren","1410","Van Buren",12358,20,137,3,12378
"G0501430","1940","Arkansas","050","Washington","1430","Washington",40404,272,411,27,40676
"G0501450","1940","Arkansas","050","White","1450","White",35502,62,1612,0,35564
"G0501470","1940","Arkansas","050","Woodruff","1470","Woodruff",13218,17,8860,38,13235
