GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B3P001,B3P002,B3P003,B3P004,B3P005,B3P006,B3P007,B3P008
"G0100010","1950","Alabama","010","Autauga","0010","Autauga",4822,11,3980,2,4960,30,4377,4
"G0100030","1950","Alabama","010","Baldwin","0030","Baldwin",15558,588,4556,12,15112,524,4639,8
"G0100050","1950","Alabama","010","Barbour","0050","Barbour",6603,10,7187,4,6832,20,8232,4
"G0100070","1950","Alabama","010","Bibb","0070","Bibb",6069,44,2884,2,6031,13,2942,2
"G0100090","1950","Alabama","010","Blount","0090","Blount",14326,18,409,4,13793,14,410,1
"G0100110","1950","Alabama","010","Bullock","0110","Bullock",2110,6,5543,0,2111,12,6270,2
"G0100130","1950","Alabama","010","Butler","0130","Butler",7988,17,6267,3,8100,16,6835,2
"G0100150","1950","Alabama","010","Calhoun","0150","Calhoun",31781,109,7233,26,32364,112,7906,8
"G0100170","1950","Alabama","010","Chambers","0170","Chambers",12178,17,6850,0,12805,29,7644,5
"G0100190","1950","Alabama","010","Cherokee","0190","Cherokee",8080,7,840,2,7889,9,807,0
"G0100210","1950","Alabama","010","Chilton","0210","Chilton",11393,22,2129,1,11170,23,2183,1
"G0100230","1950","Alabama","010","Choctaw","0230","Choctaw",4650,4,5063,1,4424,11,4997,2
"G0100250","1950","Alabama","010","Clarke","0250","Clarke",6670,12,6523,4,6645,17,6669,8
"G0100270","1950","Alabama","010","Clay","0270","Clay",5902,8,1010,1,5804,5,1199,0
"G0100290","1950","Alabama","010","Cleburne","0290","Cleburne",5620,9,406,5,5474,12,378,0
"G0100310","1950","Alabama","010","Coffee","0310","Coffee",12126,8,3105,3,12091,19,3368,0
"G0100330","1950","Alabama","010","Colbert","0330","Colbert",15482,46,3963,3,15667,43,4357,0
"G0100350","1950","Alabama","010","Conecuh","0350","Conecuh",5943,6,4722,4,5942,15,5140,4
"G0100370","1950","Alabama","010","Coosa","0370","Coosa",3957,6,1979,0,3863,9,1952,0
"G0100390","1950","Alabama","010","Covington","0390","Covington",16899,22,2821,1,17338,26,3265,1
"G0100410","1950","Alabama","010","Crenshaw","0410","Crenshaw",6462,6,2865,1,6438,10,3198,1
"G0100430","1950","Alabama","010","Cullman","0430","Cullman",24183,132,271,2,24134,118,205,1
"G0100450","1950","Alabama","010","Dale","0450","Dale",8016,12,2289,5,7939,18,2545,4
"G0100470","1950","Alabama","010","Dallas","0470","Dallas",9536,107,17091,6,9971,105,19447,7
"G0100490","1950","Alabama","010","DeKalb","0490","Dekalb",22116,41,402,4,22029,25,430,1
"G0100510","1950","Alabama","010","Elmore","0510","Elmore",10269,19,5625,0,9947,15,5773,1
"G0100530","1950","Alabama","010","Escambia","0530","Escambia",10454,29,5072,187,10369,28,5118,186
"G0100550","1950","Alabama","010","Etowah","0550","Etowah",39295,146,6567,10,40776,142,6947,9
"G0100570","1950","Alabama","010","Fayette","0570","Fayette",8277,13,1411,0,8220,13,1454,0
"G0100590","1950","Alabama","010","Franklin","0590","Franklin",12246,28,679,5,12074,17,656,0
"G0100610","1950","Alabama","010","Geneva","0610","Geneva",11160,19,1625,1,11290,21,1782,1
"G0100630","1950","Alabama","010","Greene","0630","Greene",1377,10,6599,2,1406,7,7079,2
"G0100650","1950","Alabama","010","Hale","0650","Hale",3066,13,7103,1,3102,10,7535,2
"G0100670","1950","Alabama","010","Henry","0670","Henry",4807,9,4372,1,4748,8,4728,1
"G0100690","1950","Alabama","010","Houston","0690","Houston",16208,57,6377,8,16544,44,7281,3
"G0100710","1950","Alabama","010","Jackson","0710","Jackson",18458,22,1118,7,18189,21,1179,4
"G0100730","1950","Alabama","010","Jefferson","0730","Jefferson",167246,2721,97999,87,177769,2576,110460,70
"G0100750","1950","Alabama","010","Lamar","0750","Lamar",7068,9,1250,4,6916,15,1178,1
"G0100770","1950","Alabama","010","Lauderdale","0770","Lauderdale",23199,57,3418,24,23608,62,3798,13
"G0100790","1950","Alabama","010","Lawrence","0790","Lawrence",10851,11,2906,6,10315,15,3024,0
"G0100810","1950","Alabama","010","Lee","0810","Lee",14527,83,8534,3,12275,66,9582,3
"G0100830","1950","Alabama","010","Limestone","0830","Limestone",13880,23,3996,2,13687,28,4146,4
"G0100850","1950","Alabama","010","Lowndes","0850","Lowndes",1628,3,7095,2,1575,8,7701,6
"G0100870","1950","Alabama","010","Macon","0870","Macon",2399,9,13869,7,2360,9,11902,6
"G0100890","1950","Alabama","010","Madison","0890","Madison",26063,73,9470,7,26876,82,10327,5
"G0100910","1950","Alabama","010","Marengo","0910","Marengo",4504,16,9984,1,4475,23,10489,2
"G0100930","1950","Alabama","010","Marion","0930","Marion",13285,38,345,5,13198,18,374,1
"G0100950","1950","Alabama","010","Marshall","0950","Marshall",21955,29,488,5,22027,29,554,3
"G0100970","1950","Alabama","010","Mobile","0970","Mobile",73883,1377,36643,238,76816,1030,40948,170
"G0100990","1950","Alabama","010","Monroe","0990","Monroe",6236,14,6429,0,6311,16,6726,0
"G0101010","1950","Alabama","010","Montgomery","1010","Montgomery",37747,428,28082,14,39665,509,32510,10
"G0101030","1950","Alabama","010","Morgan","1030","Morgan",22117,62,3695,3,22767,58,4219,3
"G0101050","1950","Alabama","010","Perry","1050","Perry",3247,11,6607,1,3375,17,7180,1
"G0101070","1950","Alabama","010","Pickens","1070","Pickens",6394,9,5598,2,6263,23,6059,1
"G0101090","1950","Alabama","010","Pike","1090","Pike",8496,22,6495,1,8551,19,7022,2
"G0101110","1950","Alabama","010","Randolph","1110","Randolph",8329,16,2803,1,8336,15,3013,0
"G0101130","1950","Alabama","010","Russell","1130","Russell",9527,38,9918,4,9752,43,11078,4
"G0101150","1950","Alabama","010","St Clair","1150","St Clair",10964,32,2396,4,10809,26,2451,5
"G0101170","1950","Alabama","010","Shelby","1170","Shelby",11539,28,3267,3,12147,36,3341,1
"G0101190","1950","Alabama","010","Sumter","1190","Sumter",2838,8,8634,1,2796,9,9323,1
"G0101210","1950","Alabama","010","Talladega","1210","Talladega",21259,73,9674,4,22176,74,10375,4
"G0101230","1950","Alabama","010","Tallapoosa","1230","Tallapoosa",12644,21,4750,4,12346,19,5284,6
"G0101250","1950","Alabama","010","Tuscaloosa","1250","Tuscaloosa",34906,194,12437,4,32942,172,13429,8
"G0101270","1950","Alabama","010","Walker","1270","Walker",28387,85,3311,8,28379,71,3526,2
"G0101290","1950","Alabama","010","Washington","1290","Washington",4786,10,2483,601,4662,13,2500,557
"G0101310","1950","Alabama","010","Wilcox","1310","Wilcox",2388,5,9001,0,2505,14,9557,6
"G0101330","1950","Alabama","010","Winston","1330","Winston",9188,9,48,1,8941,10,53,0
"G0250015","1950","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",9489,1760,,4465,7618,791,,4080
"G0250035","1950","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",12498,1039,,4582,5947,424,,4160
"G0250075","1950","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",1176,166,,5327,585,45,,4973
"G0250115","1950","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",32683,1579,,4708,16336,672,,3540
"G0400010","1950","Arizona","040","Apache","0010","Apache",3388,58,391,10232,3231,58,368,10041
"G0400030","1950","Arizona","040","Cochise","0030","Cochise",13340,1736,231,22,13722,2186,235,16
"G0400050","1950","Arizona","040","Coconino","0050","Coconino",7410,493,372,4028,6978,352,347,3930
"G0400070","1950","Arizona","040","Gila","0070","Gila",10014,761,72,1368,9738,772,80,1353
"G0400090","1950","Arizona","040","Graham","0090","Graham",5728,185,150,623,5448,176,90,585
"G0400110","1950","Arizona","040","Greenlee","0110","Greenlee",6147,353,43,111,5681,346,42,82
"G0400130","1950","Arizona","040","Maricopa","0130","Maricopa",145832,9480,7262,3575,146605,8669,7147,3200
"G0400150","1950","Arizona","040","Mohave","0150","Mohave",3939,166,6,419,3602,106,5,267
"G0400170","1950","Arizona","040","Navajo","0170","Navajo",7044,219,195,7386,6913,231,179,7279
"G0400190","1950","Arizona","040","Pima","0190","Pima",59854,5001,2596,3608,58908,5502,2421,3326
"G0400210","1950","Arizona","040","Pinal","0210","Pinal",17398,1336,1471,2628,15771,1090,1037,2460
"G0400230","1950","Arizona","040","Santa Cruz","0230","Santa Cruz",3469,902,89,21,3394,1376,75,18
"G0400250","1950","Arizona","040","Yavapai","0250","Yavapai",11620,957,86,315,10947,738,71,257
"G0400270","1950","Arizona","040","Yuma","0270","Yuma",11632,1754,466,1077,11164,591,447,875
"G0500010","1950","Arkansas","050","Arkansas","0010","Arkansas",9139,61,2689,5,8894,47,2825,5
"G0500030","1950","Arkansas","050","Ashley","0030","Ashley",8160,25,4817,4,7701,15,4938,0
