GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,A7L001
"G0100010","1920","Alabama","010","Autauga","0010","Autauga",18908
"G0100030","1920","Alabama","010","Baldwin","0030","Baldwin",20730
"G0100050","1920","Alabama","010","Barbour","0050","Barbour",32067
"G0100070","1920","Alabama","010","Bibb","0070","Bibb",23144
"G0100090","1920","Alabama","010","Blount","0090","Blount",25538
"G0100110","1920","Alabama","010","Bullock","0110","Bullock",25333
"G0100130","1920","Alabama","010","Butler","0130","Butler",29531
"G0100150","1920","Alabama","010","Calhoun","0150","Calhoun",47822
"G0100170","1920","Alabama","010","Chambers","0170","Chambers",41201
"G0100190","1920","Alabama","010","Cherokee","0190","Cherokee",20862
"G0100210","1920","Alabama","010","Chilton","0210","Chilton",22770
"G0100230","1920","Alabama","010","Choctaw","0230","Choctaw",20753
"G0100250","1920","Alabama","010","Clarke","0250","Clarke",26409
"G0100270","1920","Alabama","010","Clay","0270","Clay",22645
"G0100290","1920","Alabama","010","Cleburne","0290","Cleburne",13360
"G0100310","1920","Alabama","010","Coffee","0310","Coffee",30070
"G0100330","1920","Alabama","010","Colbert","0330","Colbert",31997
"G0100350","1920","Alabama","010","Conecuh","0350","Conecuh",24593
"G0100370","1920","Alabama","010","Coosa","0370","Coosa",14839
"G0100390","1920","Alabama","010","Covington","0390","Covington",38103
"G0100410","1920","Alabama","010","Crenshaw","0410","Crenshaw",23017
"G0100430","1920","Alabama","010","Cullman","0430","Cullman",33034
"G0100450","1920","Alabama","010","Dale","0450","Dale",22711
"G0100470","1920","Alabama","010","Dallas","0470","Dallas",54697
"G0100490","1920","Alabama","010","DeKalb","0490","Dekalb",34426
"G0100510","1920","Alabama","010","Elmore","0510","Elmore",28085
"G0100530","1920","Alabama","010","Escambia","0530","Escambia",22464
"G0100550","1920","Alabama","010","Etowah","0550","Etowah",47275
"G0100570","1920","Alabama","010","Fayette","0570","Fayette",18365
"G0100590","1920","Alabama","010","Franklin","0590","Franklin",22011
"G0100610","1920","Alabama","010","Geneva","0610","Geneva",29315
"G0100630","1920","Alabama","010","Greene","0630","Greene",18133
"G0100650","1920","Alabama","010","Hale","0650","Hale",24289
"G0100670","1920","Alabama","010","Henry","0670","Henry",21547
"G0100690","1920","Alabama","010","Houston","0690","Houston",37334
"G0100710","1920","Alabama","010","Jackson","0710","Jackson",35864
"G0100730","1920","Alabama","010","Jefferson","0730","Jefferson",310054
"G0100750","1920","Alabama","010","Lamar","0750","Lamar",18149
"G0100770","1920","Alabama","010","Lauderdale","0770","Lauderdale",39556
"G0100790","1920","Alabama","010","Lawrence","0790","Lawrence",24307
