GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AV2001
"G0100010","1890","Alabama","010","Autauga","0010","Autauga",4796
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin",5678
"G0100050","1890","Alabama","010","Barbour","0050","Barbour",13454
"G0100070","1890","Alabama","010","Bibb","0070","Bibb",9080
"G0100090","1890","Alabama","010","Blount","0090","Blount",20155
"G0100110","1890","Alabama","010","Bullock","0110","Bullock",6055
"G0100130","1890","Alabama","010","Butler","0130","Butler",11326
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun",23947
"G0100170","1890","Alabama","010","Chambers","0170","Chambers",12460
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee",17656
"G0100210","1890","Alabama","010","Chilton","0210","Chilton",11483
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw",8209
"G0100250","1890","Alabama","010","Clarke","0250","Clarke",9685
"G0100270","1890","Alabama","010","Clay","0270","Clay",14061
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne",12427
"G0100310","1890","Alabama","010","Coffee","0310","Coffee",10237
"G0100330","1890","Alabama","010","Colbert","0330","Colbert",12361
"G0100350","1890","Alabama","010","Conecuh","0350","Conecuh",7987
"G0100370","1890","Alabama","010","Coosa","0370","Coosa",10552
"G0100390","1890","Alabama","010","Covington","0390","Covington",6695
"G0100410","1890","Alabama","010","Crenshaw","0410","Crenshaw",11745
"G0100430","1890","Alabama","010","Cullman","0430","Cullman",13401
"G0100450","1890","Alabama","010","Dale","0450","Dale",13867
"G0100470","1890","Alabama","010","Dallas","0470","Dallas",8016
"G0100490","1890","Alabama","010","DeKalb","0490","Dekalb",19897
"G0100510","1890","Alabama","010","Elmore","0510","Elmore",11443
"G0100530","1890","Alabama","010","Escambia","0530","Escambia",5843
"G0100550","1890","Alabama","010","Etowah","0550","Etowah",18171
"G0100570","1890","Alabama","010","Fayette","0570","Fayette",11141
"G0100590","1890","Alabama","010","Franklin","0590","Franklin",9520
"G0100610","1890","Alabama","010","Geneva","0610","Geneva",9664
"G0100630","1890","Alabama","010","Greene","0630","Greene",3235
"G0100650","1890","Alabama","010","Hale","0650","Hale",5180
"G0100670","1890","Alabama","010","Henry","0670","Henry",16038
"G0100710","1890","Alabama","010","Jackson","0710","Jackson",24179
"G0100730","1890","Alabama","010","Jefferson","0730","Jefferson",56334
"G0100750","1890","Alabama","010","Lamar","0750","Lamar",11439
"G0100770","1890","Alabama","010","Lauderdale","0770","Lauderdale",16647
"G0100790","1890","Alabama","010","Lawrence","0790","Lawrence",12553
"G0100810","1890","Alabama","010","Lee","0810","Lee",12197
"G0100830","1890","Alabama","010","Limestone","0830","Limestone",12198
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes",4563
"G0100870","1890","Alabama","010","Macon","0870","Macon",4251
"G0100890","1890","Alabama","010","Madison","0890","Madison",19345
"G0100910","1890","Alabama","010","Marengo","0910","Marengo",7946
"G0100930","1890","Alabama","010","Marion","0930","Marion",10769
"G0100950","1890","Alabama","010","Marshall","0950","Marshall",17652
"G0100970","1890","Alabama","010","Mobile","0970","Mobile",28369
"G0100990","1890","Alabama","010","Monroe","0990","Monroe",8379
"G0101010","1890","Alabama","010","Montgomery","1010","Montgomery",14682
"G0101030","1890","Alabama","010","Morgan","1030","Morgan",18013
"G0101050","1890","Alabama","010","Perry","1050","Perry",6812
"G0101070","1890","Alabama","010","Pickens","1070","Pickens",9284
"G0101090","1890","Alabama","010","Pike","1090","Pike",15349
"G0101110","1890","Alabama","010","Randolph","1110","Randolph",13914
"G0101130","1890","Alabama","010","Russell","1130","Russell",5814
"G0101150","1890","Alabama","010","St Clair","1150","St Clair",14303
"G0101170","1890","Alabama","010","Shelby","1170","Shelby",14289
"G0101190","1890","Alabama","010","Sumter","1190","Sumter",5943
"G0101210","1890","Alabama","010","Talladega","1210","Talladega",15399
"G0101230","1890","Alabama","010","Tallapoosa","1230","Tallapoosa",16951
"G0101250","1890","Alabama","010","Tuscaloosa","1250","Tuscaloosa",18261
"G0101270","1890","Alabama","010","Walker","1270","Walker",14422
"G0101290","1890","Alabama","010","Washington","1290","Washington",4686
"G0101310","1890","Alabama","010","Wilcox","1310","Wilcox",6794
"G0101330","1890","Alabama","010","Winston","1330","Winston",6516
"G0250055","1890","Alaska Territory","025","Northern District","0055","Northern District",
"G0250095","1890","Alaska Territory","025","Southern District","0095","Southern District",
"G0450015","1890","Arizona Territory","045","Apache","0015","Apache",3931
"G0450035","1890","Arizona Territory","045","Cochise","0035","Cochise",6742
"G0450075","1890","Arizona Territory","045","Gila","0075","Gila",1705
"G0450095","1890","Arizona Territory","045","Graham","0095","Graham",5076
"G0450135","1890","Arizona Territory","045","Maricopa","0135","Maricopa",10674
"G0450155","1890","Arizona Territory","045","Mohave","0155","Mohave",1405
"G0450195","1890","Arizona Territory","045","Pima","0195","Pima",11412
"G0450215","1890","Arizona Territory","045","Pinal","0215","Pinal",4033
"G0450255","1890","Arizona Territory","045","Yavapai","0255","Yavapai",8423
"G0450275","1890","Arizona Territory","045","Yuma","0275","Yuma",2179
"G0500010","1890","Arkansas","050","Arkansas","0010","Arkansas",7899
"G0500030","1890","Arkansas","050","Ashley","0030","Ashley",6427
"G0500050","1890","Arkansas","050","Baxter","0050","Baxter",8509
"G0500070","1890","Arkansas","050","Benton","0070","Benton",27622
"G0500090","1890","Arkansas","050","Boone","0090","Boone",15723
"G0500110","1890","Arkansas","050","Bradley","0110","Bradley",5108
"G0500130","1890","Arkansas","050","Calhoun","0130","Calhoun",4547
"G0500150","1890","Arkansas","050","Carroll","0150","Carroll",17205
"G0500170","1890","Arkansas","050","Chicot","0170","Chicot",1392
"G0500190","1890","Arkansas","050","Clark","0190","Clark",14201
"G0500210","1890","Arkansas","050","Clay","0210","Clay",12156
"G0500230","1890","Arkansas","050","Cleburne","0230","Cleburne",7832
"G0500250","1890","Arkansas","050","Cleveland","0250","Cleveland",8034
"G0500270","1890","Arkansas","050","Columbia","0270","Columbia",12580
"G0500290","1890","Arkansas","050","Conway","0290","Conway",11788
"G0500310","1890","Arkansas","050","Craighead","0310","Craighead",11506
