GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZ2001
"G0100010","1900","Alabama","010","Autauga","0010","Autauga",6742
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin",9015
"G0100050","1900","Alabama","010","Barbour","0050","Barbour",12781
"G0100070","1900","Alabama","010","Bibb","0070","Bibb",12285
"G0100090","1900","Alabama","010","Blount","0090","Blount",21338
"G0100110","1900","Alabama","010","Bullock","0110","Bullock",5846
"G0100130","1900","Alabama","010","Butler","0130","Butler",12514
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun",24247
"G0100170","1900","Alabama","010","Chambers","0170","Chambers",15139
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee",18080
"G0100210","1900","Alabama","010","Chilton","0210","Chilton",13258
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw",7858
"G0100250","1900","Alabama","010","Clarke","0250","Clarke",11952
"G0100270","1900","Alabama","010","Clay","0270","Clay",15215
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne",12325
"G0100310","1900","Alabama","010","Coffee","0310","Coffee",16739
"G0100330","1900","Alabama","010","Colbert","0330","Colbert",12795
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh",9720
"G0100370","1900","Alabama","010","Coosa","0370","Coosa",10856
"G0100390","1900","Alabama","010","Covington","0390","Covington",12912
"G0100410","1900","Alabama","010","Crenshaw","0410","Crenshaw",14057
"G0100430","1900","Alabama","010","Cullman","0430","Cullman",17828
"G0100450","1900","Alabama","010","Dale","0450","Dale",16320
"G0100470","1900","Alabama","010","Dallas","0470","Dallas",9285
"G0100490","1900","Alabama","010","DeKalb","0490","Dekalb",22586
"G0100510","1900","Alabama","010","Elmore","0510","Elmore",14048
"G0100530","1900","Alabama","010","Escambia","0530","Escambia",7683
"G0100550","1900","Alabama","010","Etowah","0550","Etowah",22995
"G0100570","1900","Alabama","010","Fayette","0570","Fayette",12431
"G0100590","1900","Alabama","010","Franklin","0590","Franklin",14353
"G0100610","1900","Alabama","010","Geneva","0610","Geneva",15878
"G0100630","1900","Alabama","010","Greene","0630","Greene",3307
"G0100650","1900","Alabama","010","Hale","0650","Hale",5664
"G0100670","1900","Alabama","010","Henry","0670","Henry",22543
"G0100710","1900","Alabama","010","Jackson","0710","Jackson",26860
"G0100730","1900","Alabama","010","Jefferson","0730","Jefferson",83489
"G0100750","1900","Alabama","010","Lamar","0750","Lamar",13015
"G0100770","1900","Alabama","010","Lauderdale","0770","Lauderdale",19169
"G0100790","1900","Alabama","010","Lawrence","0790","Lawrence",12967
