GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AZ3001,AZ3002,AZ3003,AZ3004
"G0100010","1900","Alabama","010","Autauga","0010","Autauga",5494,5679,5494,5679
"G0100030","1900","Alabama","010","Baldwin","0030","Baldwin",2043,2136,2043,2136
"G0100050","1900","Alabama","010","Barbour","0050","Barbour",10619,11752,10619,11752
"G0100070","1900","Alabama","010","Bibb","0070","Bibb",3282,2931,3282,2931
"G0100090","1900","Alabama","010","Blount","0090","Blount",950,831,950,831
"G0100110","1900","Alabama","010","Bullock","0110","Bullock",12749,13349,12748,13349
"G0100130","1900","Alabama","010","Butler","0130","Butler",6591,6656,6590,6656
"G0100150","1900","Alabama","010","Calhoun","0150","Calhoun",5258,5369,5257,5369
"G0100170","1900","Alabama","010","Chambers","0170","Chambers",8567,8848,8567,8848
"G0100190","1900","Alabama","010","Cherokee","0190","Cherokee",1611,1405,1611,1405
"G0100210","1900","Alabama","010","Chilton","0210","Chilton",1692,1572,1692,1572
"G0100230","1900","Alabama","010","Choctaw","0230","Choctaw",5145,5133,5144,5133
"G0100250","1900","Alabama","010","Clarke","0250","Clarke",7870,7968,7865,7964
"G0100270","1900","Alabama","010","Clay","0270","Clay",972,912,972,912
"G0100290","1900","Alabama","010","Cleburne","0290","Cleburne",444,437,444,437
"G0100310","1900","Alabama","010","Coffee","0310","Coffee",2323,1910,2323,1910
"G0100330","1900","Alabama","010","Colbert","0330","Colbert",4676,4870,4676,4870
"G0100350","1900","Alabama","010","Conecuh","0350","Conecuh",3835,3959,3834,3959
"G0100370","1900","Alabama","010","Coosa","0370","Coosa",2639,2649,2639,2649
"G0100390","1900","Alabama","010","Covington","0390","Covington",1438,996,1438,996
"G0100410","1900","Alabama","010","Crenshaw","0410","Crenshaw",2773,2838,2768,2833
"G0100430","1900","Alabama","010","Cullman","0430","Cullman",9,12,9,12
"G0100450","1900","Alabama","010","Dale","0450","Dale",2464,2405,2464,2405
"G0100470","1900","Alabama","010","Dallas","0470","Dallas",21672,23700,21672,23700
"G0100490","1900","Alabama","010","DeKalb","0490","Dekalb",481,491,481,491
"G0100510","1900","Alabama","010","Elmore","0510","Elmore",6119,5932,6119,5932
"G0100530","1900","Alabama","010","Escambia","0530","Escambia",1868,1769,1813,1702
"G0100550","1900","Alabama","010","Etowah","0550","Etowah",2192,2174,2192,2174
"G0100570","1900","Alabama","010","Fayette","0570","Fayette",848,853,848,853
"G0100590","1900","Alabama","010","Franklin","0590","Franklin",1223,935,1223,935
"G0100610","1900","Alabama","010","Geneva","0610","Geneva",1866,1352,1866,1352
"G0100630","1900","Alabama","010","Greene","0630","Greene",10070,10805,10070,10805
"G0100650","1900","Alabama","010","Hale","0650","Hale",12546,12801,12546,12801
"G0100670","1900","Alabama","010","Henry","0670","Henry",6923,6681,6923,6681
"G0100710","1900","Alabama","010","Jackson","0710","Jackson",1810,1838,1806,1836
"G0100730","1900","Alabama","010","Jefferson","0730","Jefferson",30705,26226,30691,26226
"G0100750","1900","Alabama","010","Lamar","0750","Lamar",1536,1533,1536,1533
"G0100770","1900","Alabama","010","Lauderdale","0770","Lauderdale",3668,3722,3668,3722
"G0100790","1900","Alabama","010","Lawrence","0790","Lawrence",3489,3668,3488,3668
"G0100810","1900","Alabama","010","Lee","0810","Lee",9055,10012,9055,10012
"G0100830","1900","Alabama","010","Limestone","0830","Limestone",4872,4957,4871,4957
"G0100850","1900","Alabama","010","Lowndes","0850","Lowndes",15192,15697,15192,15697
"G0100870","1900","Alabama","010","Macon","0870","Macon",9244,9630,9244,9630
"G0100890","1900","Alabama","010","Madison","0890","Madison",9556,10319,9556,10319
"G0100910","1900","Alabama","010","Marengo","0910","Marengo",14367,15107,14366,15107
"G0100930","1900","Alabama","010","Marion","0930","Marion",393,385,393,385
"G0100950","1900","Alabama","010","Marshall","0950","Marshall",731,769,731,769
"G0100970","1900","Alabama","010","Mobile","0970","Mobile",13385,15049,13361,15048
"G0100990","1900","Alabama","010","Monroe","0990","Monroe",6481,6656,6470,6646
"G0101010","1900","Alabama","010","Montgomery","1010","Montgomery",24702,27520,24687,27520
"G0101030","1900","Alabama","010","Morgan","1030","Morgan",3587,3794,3584,3794
"G0101050","1900","Alabama","010","Perry","1050","Perry",12098,12864,12098,12864
"G0101070","1900","Alabama","010","Pickens","1070","Pickens",6783,7138,6783,7138
"G0101090","1900","Alabama","010","Pike","1090","Pike",6327,6148,6326,6148
"G0101110","1900","Alabama","010","Randolph","1110","Randolph",2573,2605,2573,2605
"G0101130","1900","Alabama","010","Russell","1130","Russell",10267,10886,10266,10886
"G0101150","1900","Alabama","010","St Clair","1150","St Clair",1800,1642,1800,1642
"G0101170","1900","Alabama","010","Shelby","1170","Shelby",3683,3321,3683,3321
"G0101190","1900","Alabama","010","Sumter","1190","Sumter",13068,13970,13068,13970
