GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,BCZ001,BCZ002,BC0001
"G0100010","1930","Alabama","010","Autauga","0010","Autauga",8787,10907,10907
"G0100030","1930","Alabama","010","Baldwin","0030","Baldwin",21485,6804,6798
"G0100050","1930","Alabama","010","Barbour","0050","Barbour",13766,18659,18659
"G0100070","1930","Alabama","010","Bibb","0070","Bibb",13904,6876,6876
"G0100090","1930","Alabama","010","Blount","0090","Blount",26951,1069,1069
"G0100110","1930","Alabama","010","Bullock","0110","Bullock",4262,15754,15754
"G0100130","1930","Alabama","010","Butler","0130","Butler",15513,14682,14682
"G0100150","1930","Alabama","010","Calhoun","0150","Calhoun",43071,12540,12536
"G0100170","1930","Alabama","010","Chambers","0170","Chambers",21385,17928,17928
"G0100190","1930","Alabama","010","Cherokee","0190","Cherokee",18388,1831,1831
"G0100210","1930","Alabama","010","Chilton","0210","Chilton",20611,3968,3968
"G0100230","1930","Alabama","010","Choctaw","0230","Choctaw",9277,11236,11236
"G0100250","1930","Alabama","010","Clarke","0250","Clarke",12390,13626,13625
"G0100270","1930","Alabama","010","Clay","0270","Clay",15041,2727,2727
"G0100290","1930","Alabama","010","Cleburne","0290","Cleburne",12109,768,766
"G0100310","1930","Alabama","010","Coffee","0310","Coffee",25662,6894,6894
"G0100330","1930","Alabama","010","Colbert","0330","Colbert",21378,8482,8482
"G0100350","1930","Alabama","010","Conecuh","0350","Conecuh",14334,11095,11095
"G0100370","1930","Alabama","010","Coosa","0370","Coosa",7820,4640,4640
"G0100390","1930","Alabama","010","Covington","0390","Covington",34278,7078,7078
"G0100410","1930","Alabama","010","Crenshaw","0410","Crenshaw",16355,7301,7301
"G0100430","1930","Alabama","010","Cullman","0430","Cullman",40610,441,441
"G0100450","1930","Alabama","010","Dale","0450","Dale",17765,5410,5410
"G0100470","1930","Alabama","010","Dallas","0470","Dallas",14227,40867,40867
"G0100490","1930","Alabama","010","DeKalb","0490","Dekalb",39253,851,851
"G0100510","1930","Alabama","010","Elmore","0510","Elmore",20098,14182,14182
"G0100530","1930","Alabama","010","Escambia","0530","Escambia",19056,8907,8558
"G0100550","1930","Alabama","010","Etowah","0550","Etowah",53454,9945,9944
"G0100570","1930","Alabama","010","Fayette","0570","Fayette",15813,2630,2630
"G0100590","1930","Alabama","010","Franklin","0590","Franklin",23953,1419,1419
"G0100610","1930","Alabama","010","Geneva","0610","Geneva",26206,3898,3898
"G0100630","1930","Alabama","010","Greene","0630","Greene",3482,16263,16263
"G0100650","1930","Alabama","010","Hale","0650","Hale",6853,19412,19412
"G0100670","1930","Alabama","010","Henry","0670","Henry",12031,10789,10789
