GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CDA,C_CITYA,COUNTY,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,EUY001,EUY002,EUY003,EUY004,EUY005
"G0100010","1990",,,,,,,,,,,"Autauga","001",,"6","5240",,"9999","3","Alabama","01",,,,"Autauga County",27144,6845,71,120,42
"G0100030","1990",,,,,,,,,,,"Baldwin","003",,"6","5160",,"9999","3","Alabama","01",,,,"Baldwin County",84565,12640,630,221,224
"G0100050","1990",,,,,,,,,,,"Barbour","005",,"6","9999",,"9999","3","Alabama","01",,,,"Barbour County",14118,11194,46,44,15
"G0100070","1990",,,,,,,,,,,"Bibb","007",,"6","9999",,"9999","3","Alabama","01",,,,"Bibb County",13052,3478,25,11,10
"G0100090","1990",,,,,,,,,,,"Blount","009",,"6","1000",,"9999","3","Alabama","01",,,,"Blount County",38397,521,133,33,164
"G0100110","1990",,,,,,,,,,,"Bullock","011",,"6","9999",,"9999","3","Alabama","01",,,,"Bullock County",3036,7986,8,10,2
"G0100130","1990",,,,,,,,,,,"Butler","013",,"6","9999",,"9999","3","Alabama","01",,,,"Butler County",13049,8798,24,19,2
"G0100150","1990",,,,,,,,,,,"Calhoun","015",,"6","0450",,"9999","3","Alabama","01",,,,"Calhoun County",92873,21578,296,869,418
"G0100170","1990",,,,,,,,,,,"Chambers","017",,"6","9999",,"9999","3","Alabama","01",,,,"Chambers County",23575,13221,41,13,26
"G0100190","1990",,,,,,,,,,,"Cherokee","019",,"6","9999",,"9999","3","Alabama","01",,,,"Cherokee County",18154,1291,51,24,23
"G0100210","1990",,,,,,,,,,,"Chilton","021",,"6","9999",,"9999","3","Alabama","01",,,,"Chilton County",28647,3674,63,38,36
"G0100230","1990",,,,,,,,,,,"Choctaw","023",,"6","9999",,"9999","3","Alabama","01",,,,"Choctaw County",8913,7077,10,12,6
"G0100250","1990",,,,,,,,,,,"Clarke","025",,"6","9999",,"9999","3","Alabama","01",,,,"Clarke County",15527,11625,45,35,8
"G0100270","1990",,,,,,,,,,,"Clay","027",,"6","9999",,"9999","3","Alabama","01",,,,"Clay County",11044,2166,23,13,6
"G0100290","1990",,,,,,,,,,,"Cleburne","029",,"6","9999",,"9999","3","Alabama","01",,,,"Cleburne County",12084,587,20,13,26
"G0100310","1990",,,,,,,,,,,"Coffee","031",,"6","9999",,"9999","3","Alabama","01",,,,"Coffee County",32702,6917,163,317,141
"G0100330","1990",,,,,,,,,,,"Colbert","033",,"6","2650",,"9999","3","Alabama","01",,,,"Colbert County",42820,8568,137,93,48
"G0100350","1990",,,,,,,,,,,"Conecuh","035",,"6","9999",,"9999","3","Alabama","01",,,,"Conecuh County",8063,5925,43,13,10
"G0100370","1990",,,,,,,,,,,"Coosa","037",,"6","9999",,"9999","3","Alabama","01",,,,"Coosa County",7242,3782,34,4,1
"G0100390","1990",,,,,,,,,,,"Covington","039",,"6","9999",,"9999","3","Alabama","01",,,,"Covington County",31551,4777,72,48,30
"G0100410","1990",,,,,,,,,,,"Crenshaw","041",,"6","9999",,"9999","3","Alabama","01",,,,"Crenshaw County",10048,3544,27,11,5
"G0100430","1990",,,,,,,,,,,"Cullman","043",,"6","9999",,"9999","3","Alabama","01",,,,"Cullman County",66744,560,134,117,58
"G0100450","1990",,,,,,,,,,,"Dale","045",,"6","2180",,"9999","3","Alabama","01",,,,"Dale County",39365,8847,239,731,451
"G0100470","1990",,,,,,,,,,,"Dallas","047",,"6","9999",,"9999","3","Alabama","01",,,,"Dallas County",20121,27825,41,129,14
"G0100490","1990",,,,,,,,,,,"DeKalb","049",,"6","9999",,"9999","3","Alabama","01",,,,"DeKalb County",52980,1028,481,77,85
"G0100510","1990",,,,,,,,,,,"Elmore","051",,"6","5240",,"9999","3","Alabama","01",,,,"Elmore County",37850,11039,137,129,55
