GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,JMBE001,JMBE002,JMBE003,JMBE004,JMBE005,JMBE006,JMBE007,JMBE008,JMBE009,JMBE010,NAME_M,JMBM001,JMBM002,JMBM003,JMBM004,JMBM005,JMBM006,JMBM007,JMBM008,JMBM009,JMBM010
"G0100010","2006-2010",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",53155,42031,9508,168,348,0,324,776,65,711,"Autauga County, Alabama",0,185,116,80,107,119,146,191,65,175
"G0100030","2006-2010",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",175791,151453,16613,1090,1149,6,3084,2396,245,2151,"Baldwin County, Alabama",0,831,416,257,198,10,804,544,150,523
"G0100050","2006-2010",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",27699,13759,12911,87,46,3,526,367,62,305,"Barbour County, Alabama",0,205,142,65,54,5,207,154,73,132
"G0100070","2006-2010",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22610,19038,3450,40,36,0,0,46,0,46,"Bibb County, Alabama",0,670,666,49,37,119,119,39,119,39
"G0100090","2006-2010",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",56692,53938,716,255,246,9,923,605,24,581,"Blount County, Alabama",0,376,194,156,219,15,392,190,34,187
"G0100110","2006-2010",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10923,2589,8110,24,47,64,0,89,0,89,"Bullock County, Alabama",0,181,246,37,65,104,119,83,119,83
"G0100130","2006-2010",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20895,11493,8969,28,176,0,0,229,46,183,"Butler County, Alabama",0,74,224,32,159,119,119,164,68,149
"G0100150","2006-2010",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",117149,88451,23928,513,815,85,1811,1546,32,1514,"Calhoun County, Alabama",0,380,300,139,126,99,396,313,44,305
"G0100170","2006-2010",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34579,20425,13527,17,145,0,57,408,60,348,"Chambers County, Alabama",0,161,79,26,38,119,50,159,64,158
"G0100190","2006-2010",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",25700,23842,1202,198,69,32,121,236,34,202,"Cherokee County, Alabama",0,76,136,69,62,51,94,113,47,106
