GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,B1T001,B1T002
"G0100010","1950","Alabama","010","Autauga","0010","Autauga",9823,8363
"G0100030","1950","Alabama","010","Baldwin","0030","Baldwin",31782,9215
"G0100050","1950","Alabama","010","Barbour","0050","Barbour",13465,15427
"G0100070","1950","Alabama","010","Bibb","0070","Bibb",12157,5830
"G0100090","1950","Alabama","010","Blount","0090","Blount",28151,824
"G0100110","1950","Alabama","010","Bullock","0110","Bullock",4239,11815
"G0100130","1950","Alabama","010","Butler","0130","Butler",16121,13107
"G0100150","1950","Alabama","010","Calhoun","0150","Calhoun",64366,15173
"G0100170","1950","Alabama","010","Chambers","0170","Chambers",25029,14499
"G0100190","1950","Alabama","010","Cherokee","0190","Cherokee",15985,1649
"G0100210","1950","Alabama","010","Chilton","0210","Chilton",22608,4314
"G0100230","1950","Alabama","010","Choctaw","0230","Choctaw",9089,10063
"G0100250","1950","Alabama","010","Clarke","0250","Clarke",13344,13204
"G0100270","1950","Alabama","010","Clay","0270","Clay",11719,2210
"G0100290","1950","Alabama","010","Cleburne","0290","Cleburne",11115,789
"G0100310","1950","Alabama","010","Coffee","0310","Coffee",24244,6476
"G0100330","1950","Alabama","010","Colbert","0330","Colbert",31238,8323
"G0100350","1950","Alabama","010","Conecuh","0350","Conecuh",11906,9870
"G0100370","1950","Alabama","010","Coosa","0370","Coosa",7835,3931
"G0100390","1950","Alabama","010","Covington","0390","Covington",34285,6088
"G0100410","1950","Alabama","010","Crenshaw","0410","Crenshaw",12916,6065
"G0100430","1950","Alabama","010","Cullman","0430","Cullman",48567,479
"G0100450","1950","Alabama","010","Dale","0450","Dale",15985,4843
"G0100470","1950","Alabama","010","Dallas","0470","Dallas",19719,36551
"G0100490","1950","Alabama","010","DeKalb","0490","Dekalb",44211,837
"G0100510","1950","Alabama","010","Elmore","0510","Elmore",20250,11399
"G0100530","1950","Alabama","010","Escambia","0530","Escambia",20880,10563
"G0100550","1950","Alabama","010","Etowah","0550","Etowah",80359,13533
"G0100570","1950","Alabama","010","Fayette","0570","Fayette",16523,2865
"G0100590","1950","Alabama","010","Franklin","0590","Franklin",24365,1340
"G0100610","1950","Alabama","010","Geneva","0610","Geneva",22490,3409
"G0100630","1950","Alabama","010","Greene","0630","Greene",2800,13682
"G0100650","1950","Alabama","010","Hale","0650","Hale",6191,14641
"G0100670","1950","Alabama","010","Henry","0670","Henry",9572,9102
"G0100690","1950","Alabama","010","Houston","0690","Houston",32853,13669
"G0100710","1950","Alabama","010","Jackson","0710","Jackson",36690,2308
"G0100730","1950","Alabama","010","Jefferson","0730","Jefferson",350312,208616
"G0100750","1950","Alabama","010","Lamar","0750","Lamar",14008,2433
"G0100770","1950","Alabama","010","Lauderdale","0770","Lauderdale",46926,7253
"G0100790","1950","Alabama","010","Lawrence","0790","Lawrence",21192,5936
"G0100810","1950","Alabama","010","Lee","0810","Lee",26951,18122
"G0100830","1950","Alabama","010","Limestone","0830","Limestone",27618,8148
"G0100850","1950","Alabama","010","Lowndes","0850","Lowndes",3214,14804
"G0100870","1950","Alabama","010","Macon","0870","Macon",4777,25784
"G0100890","1950","Alabama","010","Madison","0890","Madison",53094,19809
"G0100910","1950","Alabama","010","Marengo","0910","Marengo",9018,20476
"G0100930","1950","Alabama","010","Marion","0930","Marion",26539,725
"G0100950","1950","Alabama","010","Marshall","0950","Marshall",44040,1050
"G0100970","1950","Alabama","010","Mobile","0970","Mobile",153106,77999
"G0100990","1950","Alabama","010","Monroe","0990","Monroe",12577,13155
"G0101010","1950","Alabama","010","Montgomery","1010","Montgomery",78349,60616
"G0101030","1950","Alabama","010","Morgan","1030","Morgan",45004,7920
"G0101050","1950","Alabama","010","Perry","1050","Perry",6650,13789
"G0101070","1950","Alabama","010","Pickens","1070","Pickens",12689,11660
"G0101090","1950","Alabama","010","Pike","1090","Pike",17088,13520
"G0101110","1950","Alabama","010","Randolph","1110","Randolph",16696,5817
"G0101130","1950","Alabama","010","Russell","1130","Russell",19360,21004
"G0101150","1950","Alabama","010","St Clair","1150","St Clair",21831,4856
"G0101170","1950","Alabama","010","Shelby","1170","Shelby",23750,6612
"G0101190","1950","Alabama","010","Sumter","1190","Sumter",5651,17959
"G0101210","1950","Alabama","010","Talladega","1210","Talladega",43582,20057
"G0101230","1950","Alabama","010","Tallapoosa","1230","Tallapoosa",25030,10044
"G0101250","1950","Alabama","010","Tuscaloosa","1250","Tuscaloosa",68214,25878
"G0101270","1950","Alabama","010","Walker","1270","Walker",56922,6847
"G0101290","1950","Alabama","010","Washington","1290","Washington",9471,6141
"G0101310","1950","Alabama","010","Wilcox","1310","Wilcox",4912,18564
"G0101330","1950","Alabama","010","Winston","1330","Winston",18148,102
"G0250015","1950","Alaska Territory","025","First Judicicial Dist","0015","First Judicicial Dist",19658,8545
"G0250035","1950","Alaska Territory","025","Fourth Judicicial Dist","0035","Fourth Judicicial Dist",19908,8742
"G0250075","1950","Alaska Territory","025","Second Judicicial Dist","0075","Second Judicicial Dist",1972,10300
"G0250115","1950","Alaska Territory","025","Third Judicicial Dist","0115","Third Judicicial Dist",51270,8248
"G0400010","1950","Arizona","040","Apache","0010","Apache",6735,21032
"G0400030","1950","Arizona","040","Cochise","0030","Cochise",30984,504
"G0400050","1950","Arizona","040","Coconino","0050","Coconino",15233,8677
"G0400070","1950","Arizona","040","Gila","0070","Gila",21285,2873
"G0400090","1950","Arizona","040","Graham","0090","Graham",11537,1448
"G0400110","1950","Arizona","040","Greenlee","0110","Greenlee",12527,278
"G0400130","1950","Arizona","040","Maricopa","0130","Maricopa",310586,21184
"G0400150","1950","Arizona","040","Mohave","0150","Mohave",7813,697
"G0400170","1950","Arizona","040","Navajo","0170","Navajo",14407,15039
"G0400190","1950","Arizona","040","Pima","0190","Pima",129265,11951
"G0400210","1950","Arizona","040","Pinal","0210","Pinal",35595,7596
"G0400230","1950","Arizona","040","Santa Cruz","0230","Santa Cruz",9141,203
"G0400250","1950","Arizona","040","Yavapai","0250","Yavapai",24262,729
"G0400270","1950","Arizona","040","Yuma","0270","Yuma",25141,2865
"G0500010","1950","Arkansas","050","Arkansas","0010","Arkansas",18141,5524
"G0500030","1950","Arkansas","050","Ashley","0030","Ashley",15901,9759
"G0500050","1950","Arkansas","050","Baxter","0050","Baxter",11676,7
"G0500070","1950","Arkansas","050","Benton","0070","Benton",38003,73
"G0500090","1950","Arkansas","050","Boone","0090","Boone",16259,1
"G0500110","1950","Arkansas","050","Bradley","0110","Bradley",10593,5394
"G0500130","1950","Arkansas","050","Calhoun","0130","Calhoun",4678,2454
"G0500150","1950","Arkansas","050","Carroll","0150","Carroll",13224,20
"G0500170","1950","Arkansas","050","Chicot","0170","Chicot",10132,12174
"G0500190","1950","Arkansas","050","Clark","0190","Clark",16728,6270
"G0500210","1950","Arkansas","050","Clay","0210","Clay",26666,8
"G0500230","1950","Arkansas","050","Cleburne","0230","Cleburne",11483,4
"G0500250","1950","Arkansas","050","Cleveland","0250","Cleveland",6771,2185
"G0500270","1950","Arkansas","050","Columbia","0270","Columbia",17525,11245
"G0500290","1950","Arkansas","050","Conway","0290","Conway",13848,4289
"G0500310","1950","Arkansas","050","Craighead","0310","Craighead",49057,1556
"G0500330","1950","Arkansas","050","Crawford","0330","Crawford",22057,670
"G0500350","1950","Arkansas","050","Crittenden","0350","Crittenden",15673,31511
"G0500370","1950","Arkansas","050","Cross","0370","Cross",16775,7982
"G0500390","1950","Arkansas","050","Dallas","0390","Dallas",7546,4870
"G0500410","1950","Arkansas","050","Desha","0410","Desha",13069,12086
"G0500430","1950","Arkansas","050","Drew","0430","Drew",11903,6056
"G0500450","1950","Arkansas","050","Faulkner","0450","Faulkner",22453,2836
"G0500470","1950","Arkansas","050","Franklin","0470","Franklin",12166,192
"G0500490","1950","Arkansas","050","Fulton","0490","Fulton",9182,5
"G0500510","1950","Arkansas","050","Garland","0510","Garland",41482,5620
"G0500530","1950","Arkansas","050","Grant","0530","Grant",8285,739
"G0500550","1950","Arkansas","050","Greene","0550","Greene",29091,58
"G0500570","1950","Arkansas","050","Hempstead","0570","Hempstead",14841,10239
"G0500590","1950","Arkansas","050","Hot Spring","0590","Hot Spring",19321,2860
"G0500610","1950","Arkansas","050","Howard","0610","Howard",10612,2730
"G0500630","1950","Arkansas","050","Independence","0630","Independence",22840,648
"G0500650","1950","Arkansas","050","Izard","0650","Izard",9852,101
"G0500670","1950","Arkansas","050","Jackson","0670","Jackson",22158,3754
"G0500690","1950","Arkansas","050","Jefferson","0690","Jefferson",38152,37923
"G0500710","1950","Arkansas","050","Johnson","0710","Johnson",15889,249
"G0500730","1950","Arkansas","050","Lafayette","0730","Lafayette",7233,5970
"G0500750","1950","Arkansas","050","Lawrence","0750","Lawrence",21027,276
"G0500770","1950","Arkansas","050","Lee","0770","Lee",9871,14451
"G0500790","1950","Arkansas","050","Lincoln","0790","Lincoln",7983,9096
"G0500810","1950","Arkansas","050","Little River","0810","Little River",7746,3944
"G0500830","1950","Arkansas","050","Logan","0830","Logan",19749,511
"G0500850","1950","Arkansas","050","Lonoke","0850","Lonoke",20627,6651
"G0500870","1950","Arkansas","050","Madison","0870","Madison",11717,17
"G0500890","1950","Arkansas","050","Marion","0890","Marion",8609,0
"G0500910","1950","Arkansas","050","Miller","0910","Miller",23811,8803
"G0500930","1950","Arkansas","050","Mississippi","0930","Mississippi",60176,22199
"G0500950","1950","Arkansas","050","Monroe","0950","Monroe",10014,9526
"G0500970","1950","Arkansas","050","Montgomery","0970","Montgomery",6645,35
"G0500990","1950","Arkansas","050","Nevada","0990","Nevada",9466,5315
"G0501010","1950","Arkansas","050","Newton","1010","Newton",8684,1
"G0501030","1950","Arkansas","050","Ouachita","1030","Ouachita",19528,13523
"G0501050","1950","Arkansas","050","Perry","1050","Perry",5734,244
"G0501070","1950","Arkansas","050","Phillips","1070","Phillips",18653,27601
"G0501090","1950","Arkansas","050","Pike","1090","Pike",9543,489
"G0501110","1950","Arkansas","050","Poinsett","1110","Poinsett",36043,3268
"G0501130","1950","Arkansas","050","Polk","1130","Polk",14164,18
"G0501150","1950","Arkansas","050","Pope","1150","Pope",22570,721
"G0501170","1950","Arkansas","050","Prairie","1170","Prairie",11505,2263
"G0501190","1950","Arkansas","050","Pulaski","1190","Pulaski",149368,47317
"G0501210","1950","Arkansas","050","Randolph","1210","Randolph",15817,165
"G0501230","1950","Arkansas","050","St Francis","1230","St Francis",15711,21130
"G0501250","1950","Arkansas","050","Saline","1250","Saline",22490,1326
"G0501270","1950","Arkansas","050","Scott","1270","Scott",9924,133
"G0501290","1950","Arkansas","050","Searcy","1290","Searcy",10421,3
"G0501310","1950","Arkansas","050","Sebastian","1310","Sebastian",59912,4290
"G0501330","1950","Arkansas","050","Sevier","1330","Sevier",11113,1180
"G0501350","1950","Arkansas","050","Sharp","1350","Sharp",8987,12
"G0501370","1950","Arkansas","050","Stone","1370","Stone",7658,4
"G0501390","1950","Arkansas","050","Union","1390","Union",33841,15845
"G0501410","1950","Arkansas","050","Van Buren","1410","Van Buren",9574,113
"G0501430","1950","Arkansas","050","Washington","1430","Washington",49516,463
"G0501450","1950","Arkansas","050","White","1450","White",36722,1318
"G0501470","1950","Arkansas","050","Woodruff","1470","Woodruff",11820,7137
"G0501490","1950","Arkansas","050","Yell","1490","Yell",13503,554
"G0600010","1950","California","060","Alameda","0010","Alameda",654831,85484
"G0600030","1950","California","060","Alpine","0030","Alpine",159,82
"G0600050","1950","California","060","Amador","0050","Amador",8879,272
"G0600070","1950","California","060","Butte","0070","Butte",63626,1304
"G0600090","1950","California","060","Calaveras","0090","Calaveras",9702,200
"G0600110","1950","California","060","Colusa","0110","Colusa",11226,425
"G0600130","1950","California","060","Contra Costa","0130","Contra Costa",273557,25427
"G0600150","1950","California","060","Del Norte","0150","Del Norte",7572,506
"G0600170","1950","California","060","El Dorado","0170","El Dorado",16025,182
"G0600190","1950","California","060","Fresno","0190","Fresno",257350,19165
"G0600210","1950","California","060","Glenn","0210","Glenn",15275,173
"G0600230","1950","California","060","Humboldt","0230","Humboldt",67290,1951
"G0600250","1950","California","060","Imperial","0250","Imperial",57924,5051
"G0600270","1950","California","060","Inyo","0270","Inyo",10840,818
"G0600290","1950","California","060","Kern","0290","Kern",213661,14648
"G0600310","1950","California","060","Kings","0310","Kings",44325,2443
"G0600330","1950","California","060","Lake","0330","Lake",11097,384
"G0600350","1950","California","060","Lassen","0350","Lassen",17698,776
"G0600370","1950","California","060","Los Angeles","0370","Los Angeles",3877944,273743
"G0600390","1950","California","060","Madera","0390","Madera",33755,3209
"G0600410","1950","California","060","Marin","0410","Marin",81797,3822
"G0600430","1950","California","060","Mariposa","0430","Mariposa",4943,202
"G0600450","1950","California","060","Mendocino","0450","Mendocino",39187,1667
"G0600470","1950","California","060","Merced","0470","Merced",65902,3878
"G0600490","1950","California","060","Modoc","0490","Modoc",9327,351
"G0600510","1950","California","060","Mono","0510","Mono",1849,266
"G0600530","1950","California","060","Monterey","0530","Monterey",122421,8077
"G0600550","1950","California","060","Napa","0550","Napa",45745,858
"G0600570","1950","California","060","Nevada","0570","Nevada",19711,177
"G0600590","1950","California","060","Orange","0590","Orange",213637,2587
"G0600610","1950","California","060","Placer","0610","Placer",39537,2112
"G0600630","1950","California","060","Plumas","0630","Plumas",13022,497
"G0600650","1950","California","060","Riverside","0650","Riverside",162054,7992
"G0600670","1950","California","060","Sacramento","0670","Sacramento",258899,18241
"G0600690","1950","California","060","San Benito","0690","San Benito",13828,542
"G0600710","1950","California","060","San Bernardino","0710","San Bernardino",273001,8641
"G0600730","1950","California","060","San Diego","0730","San Diego",532967,23841
"G0600750","1950","California","060","San Francisco","0750","San Francisco",693888,81469
"G0600770","1950","California","060","San Joaquin","0770","San Joaquin",181100,19650
"G0600790","1950","California","060","San Luis Obispo","0790","San Luis Obispo",50101,1316
"G0600810","1950","California","060","San Mateo","0810","San Mateo",230201,5458
"G0600830","1950","California","060","Santa Barbara","0830","Santa Barbara",94156,4064
"G0600850","1950","California","060","Santa Clara","0850","Santa Clara",280429,10118
"G0600870","1950","California","060","Santa Cruz","0870","Santa Cruz",64500,2034
"G0600890","1950","California","060","Shasta","0890","Shasta",35565,848
"G0600910","1950","California","060","Sierra","0910","Sierra",2353,57
"G0600930","1950","California","060","Siskiyou","0930","Siskiyou",29417,1316
"G0600950","1950","California","060","Solano","0950","Solano",95946,8887
"G0600970","1950","California","060","Sonoma","0970","Sonoma",101333,2072
"G0600990","1950","California","060","Stanislaus","0990","Stanislaus",125994,1237
"G0601010","1950","California","060","Sutter","1010","Sutter",25192,1047
"G0601030","1950","California","060","Tehama","1030","Tehama",19038,238
"G0601050","1950","California","060","Trinity","1050","Trinity",4973,114
"G0601070","1950","California","060","Tulare","1070","Tulare",143632,5632
"G0601090","1950","California","060","Tuolumne","1090","Tuolumne",12447,137
"G0601110","1950","California","060","Ventura","1110","Ventura",111706,2941
"G0601130","1950","California","060","Yolo","1130","Yolo",39025,1615
"G0601150","1950","California","060","Yuba","1150","Yuba",23614,806
"G0800010","1950","Colorado","080","Adams","0010","Adams",38972,1262
"G0800030","1950","Colorado","080","Alamosa","0030","Alamosa",10359,172
"G0800050","1950","Colorado","080","Arapahoe","0050","Arapahoe",51689,436
"G0800070","1950","Colorado","080","Archuleta","0070","Archuleta",3017,13
"G0800090","1950","Colorado","080","Baca","0090","Baca",7940,24
"G0800110","1950","Colorado","080","Bent","0110","Bent",8681,94
"G0800130","1950","Colorado","080","Boulder","0130","Boulder",47694,602
"G0800150","1950","Colorado","080","Chaffee","0150","Chaffee",7094,74
"G0800170","1950","Colorado","080","Cheyenne","0170","Cheyenne",3442,11
"G0800190","1950","Colorado","080","Clear Creek","0190","Clear Creek",3283,6
"G0800210","1950","Colorado","080","Conejos","0210","Conejos",10080,91
"G0800230","1950","Colorado","080","Costilla","0230","Costilla",5989,78
"G0800250","1950","Colorado","080","Crowley","0250","Crowley",5110,112
"G0800270","1950","Colorado","080","Custer","0270","Custer",1572,1
"G0800290","1950","Colorado","080","Delta","0290","Delta",17303,62
"G0800310","1950","Colorado","080","Denver","0310","Denver",397534,18252
"G0800330","1950","Colorado","080","Dolores","0330","Dolores",1943,23
"G0800350","1950","Colorado","080","Douglas","0350","Douglas",3493,14
"G0800370","1950","Colorado","080","Eagle","0370","Eagle",4476,12
"G0800390","1950","Colorado","080","Elbert","0390","Elbert",4475,2
"G0800410","1950","Colorado","080","El Paso","0410","El Paso",73158,1365
"G0800430","1950","Colorado","080","Fremont","0430","Fremont",18248,118
"G0800450","1950","Colorado","080","Garfield","0450","Garfield",11617,8
"G0800470","1950","Colorado","080","Gilpin","0470","Gilpin",847,3
"G0800490","1950","Colorado","080","Grand","0490","Grand",3956,7
"G0800510","1950","Colorado","080","Gunnison","0510","Gunnison",5706,10
"G0800530","1950","Colorado","080","Hinsdale","0530","Hinsdale",263,0
"G0800550","1950","Colorado","080","Huerfano","0550","Huerfano",10442,107
"G0800570","1950","Colorado","080","Jackson","0570","Jackson",1967,9
"G0800590","1950","Colorado","080","Jefferson","0590","Jefferson",55447,240
"G0800610","1950","Colorado","080","Kiowa","0610","Kiowa",2978,25
"G0800630","1950","Colorado","080","Kit Carson","0630","Kit Carson",8594,6
"G0800650","1950","Colorado","080","Lake","0650","Lake",6142,8
"G0800670","1950","Colorado","080","La Plata","0670","La Plata",14398,482
"G0800690","1950","Colorado","080","Larimer","0690","Larimer",43463,91
"G0800710","1950","Colorado","080","Las Animas","0710","Las Animas",25734,168
"G0800730","1950","Colorado","080","Lincoln","0730","Lincoln",5906,3
"G0800750","1950","Colorado","080","Logan","0750","Logan",17141,46
"G0800770","1950","Colorado","080","Mesa","0770","Mesa",38827,147
"G0800790","1950","Colorado","080","Mineral","0790","Mineral",698,0
"G0800810","1950","Colorado","080","Moffat","0810","Moffat",5941,5
"G0800830","1950","Colorado","080","Montezuma","0830","Montezuma",9446,545
"G0800850","1950","Colorado","080","Montrose","0850","Montrose",15197,23
"G0800870","1950","Colorado","080","Morgan","0870","Morgan",18003,71
"G0800890","1950","Colorado","080","Otero","0890","Otero",24908,367
"G0800910","1950","Colorado","080","Ouray","0910","Ouray",2102,1
"G0800930","1950","Colorado","080","Park","0930","Park",1870,0
"G0800950","1950","Colorado","080","Phillips","0950","Phillips",4924,0
"G0800970","1950","Colorado","080","Pitkin","0970","Pitkin",1643,3
"G0800990","1950","Colorado","080","Prowers","0990","Prowers",14723,113
"G0801010","1950","Colorado","080","Pueblo","1010","Pueblo",88276,1912
"G0801030","1950","Colorado","080","Rio Blanco","1030","Rio Blanco",4703,16
"G0801050","1950","Colorado","080","Rio Grande","1050","Rio Grande",12815,17
"G0801070","1950","Colorado","080","Routt","1070","Routt",8841,99
"G0801090","1950","Colorado","080","Saguache","1090","Saguache",5655,9
"G0801110","1950","Colorado","080","San Juan","1110","San Juan",1465,6
"G0801130","1950","Colorado","080","San Miguel","1130","San Miguel",2636,57
"G0801150","1950","Colorado","080","Sedgwick","1150","Sedgwick",4994,101
"G0801170","1950","Colorado","080","Summit","1170","Summit",1119,16
"G0801190","1950","Colorado","080","Teller","1190","Teller",2752,2
"G0801210","1950","Colorado","080","Washington","1210","Washington",7516,4
"G0801230","1950","Colorado","080","Weld","1230","Weld",66624,880
"G0801250","1950","Colorado","080","Yuma","1250","Yuma",10822,5
"G0900010","1950","Connecticut","090","Fairfield","0010","Fairfield",487688,16654
"G0900030","1950","Connecticut","090","Hartford","0030","Hartford",523193,16468
"G0900050","1950","Connecticut","090","Litchfield","0050","Litchfield",98240,632
"G0900070","1950","Connecticut","090","Middlesex","0070","Middlesex",66357,975
"G0900090","1950","Connecticut","090","New Haven","0090","New Haven",528824,16960
"G0900110","1950","Connecticut","090","New London","0110","New London",142027,2794
"G0900130","1950","Connecticut","090","Tolland","0130","Tolland",44503,206
"G0900150","1950","Connecticut","090","Windham","0150","Windham",61497,262
"G1000010","1950","Delaware","100","Kent","0010","Kent",30923,6947
"G1000030","1950","Delaware","100","New Castle","0030","New Castle",193016,25863
"G1000050","1950","Delaware","100","Sussex","0050","Sussex",49939,11397
"G1200010","1950","Florida","120","Alachua","0010","Alachua",40475,16551
"G1200030","1950","Florida","120","Baker","0030","Baker",4767,1546
"G1200050","1950","Florida","120","Bay","0050","Bay",35524,7165
"G1200070","1950","Florida","120","Bradford","0070","Bradford",8657,2800
"G1200090","1950","Florida","120","Brevard","0090","Brevard",17652,6001
"G1200110","1950","Florida","120","Broward","0110","Broward",62574,21359
"G1200130","1950","Florida","120","Calhoun","0130","Calhoun",6803,1119
"G1200150","1950","Florida","120","Charlotte","0150","Charlotte",3614,672
"G1200170","1950","Florida","120","Citrus","0170","Citrus",4556,1555
"G1200190","1950","Florida","120","Clay","0190","Clay",12218,2105
"G1200210","1950","Florida","120","Collier","0210","Collier",4502,1986
"G1200230","1950","Florida","120","Columbia","0230","Columbia",12092,6124
"G1200250","1950","Florida","120","Dade","0250","Dade",429692,65392
"G1200270","1950","Florida","120","De Soto","0270","De Soto",7240,2002
"G1200290","1950","Florida","120","Dixie","0290","Dixie",3366,562
"G1200310","1950","Florida","120","Duval","0310","Duval",222189,81840
"G1200330","1950","Florida","120","Escambia","0330","Escambia",87583,25123
"G1200350","1950","Florida","120","Flagler","0350","Flagler",1833,1534
"G1200370","1950","Florida","120","Franklin","0370","Franklin",4318,1496
"G1200390","1950","Florida","120","Gadsden","0390","Gadsden",15989,20468
"G1200410","1950","Florida","120","Gilchrist","0410","Gilchrist",3153,346
"G1200430","1950","Florida","120","Glades","0430","Glades",1301,898
"G1200450","1950","Florida","120","Gulf","0450","Gulf",5453,2007
"G1200470","1950","Florida","120","Hamilton","0470","Hamilton",5191,3790
"G1200490","1950","Florida","120","Hardee","0490","Hardee",9323,750
"G1200510","1950","Florida","120","Hendry","0510","Hendry",4471,1580
"G1200530","1950","Florida","120","Hernando","0530","Hernando",5154,1539
