GISJOIN,totalPop,freeAfAm,slavePop,totalWhite,state,county,area,year,totalAfAm,afAmPerc,whitePerc,totalDens,totalAsian,totalIndian,asianPerc,indianPerc
G3900010,9434,21,0,9413,Ohio,Adams,1882140248.3,1810,21,0.22,99.78,12.98,,,,
G3900090,2791,4,0,2787,Ohio,Athens,3006311805.44,1810,4,0.14,99.86,2.4,,,,
G3900130,11097,88,0,11009,Ohio,Belmont,2292587225.22,1810,88,0.79,99.21,12.54,,,,
G3900170,11150,79,0,11071,Ohio,Butler,1242211274.83,1810,79,0.71,99.29,23.25,,,,
G3900210,6303,65,0,6238,Ohio,Champaign,8743640156.38,1810,65,1.03,98.97,1.87,,,,
G3900250,9965,37,0,9928,Ohio,Clermont,2145465792.54,1810,37,0.37,99.63,12.03,,,,
G3900270,2674,9,0,2665,Ohio,Clinton,937533648.004,1810,9,0.34,99.66,7.39,,,,
G3900290,10878,99,0,10779,Ohio,Columbiana,2204988644.2,1810,99,0.91,99.09,12.78,,,,
G3900350,1459,14,0,1445,Ohio,Cuyahoga,4118161479.88,1810,14,0.96,99.04,0.92,,,,
G3900410,2000,44,0,1956,Ohio,Delaware,8440545223.15,1810,44,2.2,97.8,0.61,,,,
G3900450,11361,35,0,11326,Ohio,Fairfield,2508324121.88,1810,35,0.31,99.69,11.73,,,,
G3900470,1854,4,0,1850,Ohio,Fayette,1054325618.25,1810,4,0.22,99.78,4.55,,,,
G3900490,3486,43,0,3443,Ohio,Franklin,1441828656.3,1810,43,1.23,98.77,6.26,,,,
G3900530,4181,15,0,4166,Ohio,Gallia,3033569281.09,1810,15,0.36,99.64,3.57,,,,
G3900550,2917,3,0,2914,Ohio,Geauga,3007539389.13,1810,3,0.1,99.9,2.51,,,,
G3900570,5870,36,0,5834,Ohio,Greene,1290206273.36,1810,36,0.61,99.39,11.78,,,,
G3900590,3051,7,0,3044,Ohio,Guernsey,2274642518.34,1810,7,0.23,99.77,3.47,,,,
G3900610,15258,158,0,15100,Ohio,Hamilton,1069105643.09,1810,158,1.04,98.96,36.96,,,,
G3900710,5766,126,0,5640,Ohio,Highland,1519311924.33,1810,126,2.19,97.81,9.83,,,,
G3900810,17260,124,0,17136,Ohio,Jefferson,1763488052.75,1810,124,0.72,99.28,25.35,,,,
G3900830,2149,12,0,2137,Ohio,Knox,3903302882.67,1810,12,0.56,99.44,1.43,,,,
G3900890,3852,8,0,3844,Ohio,Licking,1795376154.32,1810,8,0.21,99.79,5.56,,,,
G3900970,1603,13,0,1590,Ohio,Madison,1318997374.12,1810,13,0.81,99.19,3.15,,,,
G3901090,3941,21,0,3920,Ohio,Miami,3337994380.29,1810,21,0.53,99.47,3.06,,,,
G3901130,7722,54,0,7668,Ohio,Montgomery,11174532728.2,1810,54,0.7,99.3,1.79,,,,
G3901190,10036,75,0,9961,Ohio,Muskingum,4241475157.62,1810,75,0.75,99.25,6.13,,,,
G3901290,7124,69,0,7055,Ohio,Pickaway,1312578383.67,1810,69,0.97,99.03,14.06,,,,
G3901330,2995,7,0,2988,Ohio,Portage,3967407909.15,1810,7,0.23,99.77,1.96,,,,
G3901350,3304,25,0,3279,Ohio,Preble,1104177482.42,1810,25,0.76,99.24,7.75,,,,
G3901410,15514,370,0,15144,Ohio,Ross,3611627937.24,1810,370,2.38,97.62,11.13,,,,
G3901450,3399,29,0,3370,Ohio,Scioto,2664885465.66,1810,29,0.85,99.15,3.3,,,,
G3901510,2734,7,0,2727,Ohio,Stark,4057181816.44,1810,7,0.26,99.74,1.75,,,,
G3901550,8671,55,0,8616,Ohio,Trumbull,2710059940.47,1810,55,0.63,99.37,8.29,,,,
G3901570,3045,6,0,3039,Ohio,Tuscarawas,2260269444.92,1810,6,0.2,99.8,3.49,,,,
G3901650,9925,89,0,9836,Ohio,Warren,1051310393.07,1810,89,0.9,99.1,24.45,,,,
G3901670,5991,48,0,5943,Ohio,Washington,3044145656.94,1810,48,0.8,99.2,5.1,,,,
G1700030,626,0,0,626,Illinois,Alexander,1086201659.07,1820,0,0,100,1.49,,,,
G1700050,2931,22,27,2882,Illinois,Bond,12329052708.5,1820,49,1.67,98.33,0.62,,,,
G1700230,931,0,1,930,Illinois,Clark,37989850355.2,1820,1,0.11,99.89,0.06,,,,
G1700330,3022,72,0,2950,Illinois,Crawford,6628976383.85,1820,72,2.38,97.62,1.18,,,,
G1700470,3444,15,7,3422,Illinois,Edwards,2080762740.28,1820,22,0.64,99.36,4.29,,,,
G1700550,1763,65,7,1691,Illinois,Franklin,2289967622.83,1820,72,4.08,95.92,1.99,,,,
G1700590,3155,28,267,2860,Illinois,Gallatin,2049848615.56,1820,295,9.35,90.65,3.99,,,,
G1700770,1542,0,39,1503,Illinois,Jackson,1560540631.74,1820,39,2.53,97.47,2.56,,,,
G1700810,691,1,1,689,Illinois,Jefferson,2625505857.33,1820,2,0.29,99.71,0.68,,,,
G1700870,843,1,13,829,Illinois,Johnson,1309456325.18,1820,14,1.66,98.34,1.67,,,,
G1701190,13550,17,110,13423,Illinois,Madison,38915353784.5,1820,127,0.94,99.06,0.9,,,,
G1701330,1537,10,13,1514,Illinois,Monroe,857687749.043,1820,23,1.5,98.5,4.64,,,,
G1701510,2610,34,0,2576,Illinois,Pope,1559205804.74,1820,34,1.3,98.7,4.34,,,,
G1701570,3492,84,233,3175,Illinois,Randolph,2682412077.52,1820,317,9.08,90.92,3.37,,,,
G1701630,5253,82,98,5073,Illinois,St Clair,1917912271.82,1820,180,3.43,96.57,7.09,,,,
G1701810,2362,0,24,2338,Illinois,Union,1093310597.91,1820,24,1.02,98.98,5.6,,,,
G1701890,1517,7,26,1484,Illinois,Washington,2378299188.51,1820,33,2.18,97.82,1.65,,,,
G1701910,1114,0,3,1111,Illinois,Wayne,2552659283.77,1820,3,0.27,99.73,1.13,,,,
G1701930,4828,19,48,4761,Illinois,White,2428210355.53,1820,67,1.39,98.61,5.15,,,,
G1800190,8709,138,0,8571,Indiana,Clark,815475485.315,1820,138,1.58,98.42,27.66,,,,
G1800250,2583,0,0,2583,Indiana,Crawford,736443863.62,1820,0,0,100,9.08,,,,
G1800270,3432,32,0,3400,Indiana,Daviess,2041218569.98,1820,32,0.93,99.07,4.35,,,,
G1800290,11468,72,0,11396,Indiana,Dearborn,1021801168.85,1820,72,0.63,99.37,29.07,,,,
G1800350,3677,3,0,3674,Indiana,Delaware,17439679759.2,1820,3,0.08,99.92,0.55,,,,
G1800370,1168,8,0,1160,Indiana,Dubois,1127235897.57,1820,8,0.68,99.32,2.68,,,,
G1800410,5950,9,0,5941,Indiana,Fayette,597582182.534,1820,9,0.15,99.85,25.79,,,,
G1800430,2776,69,0,2707,Indiana,Floyd,310644963.299,1820,69,2.49,97.51,23.14,,,,
G1800470,10763,65,0,10698,Indiana,Franklin,1279782096.97,1820,65,0.6,99.4,21.78,,,,
G1800510,3876,45,30,3801,Indiana,Gibson,1529561393.04,1820,75,1.93,98.07,6.56,,,,
G1800610,7875,69,0,7806,Indiana,Harrison,1482681685.43,1820,69,0.88,99.12,13.76,,,,
G1800710,4010,36,0,3974,Indiana,Jackson,1623620511.43,1820,36,0.9,99.1,6.4,,,,
G1800770,8038,112,0,7926,Indiana,Jefferson,962940551.332,1820,112,1.39,98.61,21.62,,,,
G1800790,2000,45,0,1955,Indiana,Jennings,979926714.236,1820,45,2.25,97.75,5.29,,,,
G1800830,5437,166,118,5153,Indiana,Knox,1362100613.61,1820,284,5.22,94.78,10.34,,,,
G1800930,4116,15,0,4101,Indiana,Lawrence,1080143200.85,1820,15,0.36,99.64,9.87,,,,
G1801010,1032,4,0,1028,Indiana,Martin,697325707.436,1820,4,0.39,99.61,3.83,,,,
G1801050,2679,8,0,2671,Indiana,Monroe,914481327.216,1820,8,0.3,99.7,7.59,,,,
G1801170,5368,96,0,5272,Indiana,Orange,1057236908.39,1820,96,1.79,98.21,13.15,,,,
G1801190,838,10,1,827,Indiana,Owen,1382040916.31,1820,11,1.31,98.69,1.57,,,,
G1801230,2330,15,1,2314,Indiana,Perry,1064091176.26,1820,16,0.69,99.31,5.67,,,,
G1801250,1472,4,3,1465,Indiana,Pike,1068539029.3,1820,7,0.48,99.52,3.57,,,,
G1801290,4061,6,11,4044,Indiana,Posey,1096825575.42,1820,17,0.42,99.58,9.59,,,,
G1801350,1808,5,0,1803,Indiana,Randolph,2170016381.9,1820,5,0.28,99.72,2.16,,,,
G1801370,1822,2,0,1820,Indiana,Ripley,1108632830.65,1820,2,0.11,99.89,4.26,,,,
G1801430,2334,0,6,2328,Indiana,Scott,484796125.742,1820,6,0.26,99.74,12.47,,,,
G1801470,1882,2,3,1877,Indiana,Spencer,967695456.941,1820,5,0.27,99.73,5.04,,,,
G1801530,3498,20,8,3470,Indiana,Sullivan,1953222121.61,1820,28,0.8,99.2,4.64,,,,
G1801550,3934,9,0,3925,Indiana,Switzerland,630375154.45,1820,9,0.23,99.77,16.16,,,,
G1801630,1798,3,8,1787,Indiana,Vanderburgh,610555268.902,1820,11,0.61,99.39,7.63,,,,
G1801670,3390,26,0,3364,Indiana,Vigo,1932269668.4,1820,26,0.77,99.23,4.54,,,,
G1801675,147,5,0,142,Indiana,Wabash New Purchase *,11193474481,1820,5,3.4,96.6,0.03,,,,
G1801730,1749,6,1,1742,Indiana,Warrick,651201616.6,1820,7,0.4,99.6,6.96,,,,
G1801750,9039,59,0,8980,Indiana,Washington,1339944259.72,1820,59,0.65,99.35,17.47,,,,
