id,st,city,cityst,county_name,year,population,lat,lng
4947,OH,Cincinnati,"Cincinnati, OH",Hamilton,1810,2540,39.1399019,-84.5064465
4965,OH,Dayton,"Dayton, OH",Montgomery,1810,400,39.7773943,-84.1996317
3116,MI,Detroit,"Detroit, MI",Wayne,1820,1400,42.3830375,-83.1022365
4947,OH,Cincinnati,"Cincinnati, OH",Hamilton,1820,9642,39.1399019,-84.5064465
4950,OH,Cleveland,"Cleveland, OH",Cuyahoga,1820,600,41.4781381,-81.6794861
4965,OH,Dayton,"Dayton, OH",Montgomery,1820,1000,39.7773943,-84.1996317
3116,MI,Detroit,"Detroit, MI",Wayne,1830,2200,42.3830375,-83.1022365
3733,MO,St. Louis,"St. Louis, MO",St Louis City,1830,4977,38.6356988,-90.2445816
4946,OH,Chillecothe,"Chillecothe, OH",Ross,1830,2846,39.3386599,-82.994059
4947,OH,Cincinnati,"Cincinnati, OH",Hamilton,1830,24831,39.1399019,-84.5064465
4950,OH,Cleveland,"Cleveland, OH",Cuyahoga,1830,1100,41.4781381,-81.6794861
4957,OH,Columbus,"Columbus, OH",Franklin,1830,2400,39.9847989,-82.9850438
4965,OH,Dayton,"Dayton, OH",Montgomery,1830,2950,39.7773943,-84.1996317
5199,OH,Steubenville,"Steubenville, OH",Jefferson,1830,2937,40.3663202,-80.6570693
5270,OH,Zanesville,"Zanesville, OH",Muskingum,1830,3094,39.9570266,-82.0119544
1864,IL,Chicago,"Chicago, IL",Cook,1840,4470,41.8375511,-87.6818441
1994,IL,Joliet,"Joliet, IL",Will,1840,2558,41.5180664,-88.1583542
2126,IL,Peoria,"Peoria, IL",Peoria,1840,1500,40.7523087,-89.6170968
2195,IL,Springfield,"Springfield, IL",Sangamon,1840,2579,39.7639077,-89.6708323
2355,IN,Indianapolis,"Indianapolis, IN",Marion,1840,2692,39.7766644,-86.1459355
2376,IN,Madison,"Madison, IN",Jefferson,1840,3798,38.7588294,-85.3971348
2393,IN,New Albany,"New Albany, IN",Floyd,1840,4226,38.3074563,-85.8270527
3116,MI,Detroit,"Detroit, MI",Wayne,1840,9102,42.3830375,-83.1022365
3733,MO,St. Louis,"St. Louis, MO",St Louis City,1840,16469,38.6356988,-90.2445816
4946,OH,Chillecothe,"Chillecothe, OH",Ross,1840,3977,39.3386599,-82.994059
4947,OH,Cincinnati,"Cincinnati, OH",Hamilton,1840,46338,39.1399019,-84.5064465
4950,OH,Cleveland,"Cleveland, OH",Cuyahoga,1840,6071,41.4781381,-81.6794861
4957,OH,Columbus,"Columbus, OH",Franklin,1840,6048,39.9847989,-82.9850438
4965,OH,Dayton,"Dayton, OH",Montgomery,1840,6067,39.7773943,-84.1996317
5045,OH,Lancaster,"Lancaster, OH",Fairfield,1840,3272,39.7247371,-82.605275
5116,OH,Newark,"Newark, OH",Licking,1840,2705,40.0697323,-82.4249247
5199,OH,Steubenville,"Steubenville, OH",Jefferson,1840,4247,40.3663202,-80.6570693
5213,OH,Toledo,"Toledo, OH",Lucas,1840,1200,41.664071,-83.5818608
5270,OH,Zanesville,"Zanesville, OH",Muskingum,1840,4766,39.9570266,-82.0119544
7316,WI,Madison,"Madison, WI",Dane,1840,1500,43.0878055,-89.4301208
7333,WI,Milwaukee,"Milwaukee, WI",Milwaukee,1840,1700,43.0633484,-87.9666952
1600,IA,Burlington,"Burlington, IA",Des Moines,1850,4082,40.8064457,-91.1253389
1626,IA,Dubuque,"Dubuque, IA",Dubuque,1850,3108,42.502385,-90.7051015
1675,IA,Muscatine,"Muscatine, IA",Muscatine,1850,2540,41.420129,-91.0698399
1792,IL,Alton,"Alton, IL",Madison,1850,3585,38.9021254,-90.1540833
1810,IL,Belleville,"Belleville, IL",St Clair,1850,2941,38.5150676,-89.9862282
1864,IL,Chicago,"Chicago, IL",Cook,1850,29963,41.8375511,-87.6818441
1936,IL,Galena,"Galena, IL",Jo Daviess,1850,6004,42.4226952,-90.430222
1990,IL,Jacksonville,"Jacksonville, IL",Morgan,1850,2745,39.729151,-90.232201
1994,IL,Joliet,"Joliet, IL",Will,1850,2659,41.5180664,-88.1583542
2126,IL,Peoria,"Peoria, IL",Peoria,1850,5095,40.7523087,-89.6170968
2141,IL,Quincy,"Quincy, IL",Adams,1850,6902,39.9336751,-91.379304
2195,IL,Springfield,"Springfield, IL",Sangamon,1850,4533,39.7639077,-89.6708323
2324,IN,Evansville,"Evansville, IN",Vanderburgh,1850,3235,37.9877339,-87.534703
2329,IN,Fort Wayne,"Fort Wayne, IN",Allen,1850,4282,41.0881729,-85.14388
2355,IN,Indianapolis,"Indianapolis, IN",Marion,1850,8091,39.7766644,-86.1459355
2363,IN,Lafayette,"Lafayette, IN",Tippecanoe,1850,6129,40.399425,-86.8616994
2367,IN,Lawrenceburg,"Lawrenceburg, IN",Dearborn,1850,2651,39.1044925,-84.8745248
2376,IN,Madison,"Madison, IN",Jefferson,1850,8012,38.7588294,-85.3971348
2393,IN,New Albany,"New Albany, IN",Floyd,1850,8181,38.3074563,-85.8270527
2429,IN,South Bend,"South Bend, IN",St  Joseph,1850,1700,41.6768497,-86.269043
2436,IN,Terre Haute,"Terre Haute, IN",Vigo,1850,4051,39.4655419,-87.3759244
